NEWBURY-SANDLEFORD-PRIORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SU476644,Long,-1.3174954,Lat,51.376666,Elevation,381,ft.,,,,,,,,,,,,
Station no,RR4736,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,1.42,0.89,3.07,4.19,0.51,4.82,0.54,1.66,0.94,3.18,1.72,5.17,5.25,0.99,4.14,2.73,1.25,,
February,,1.86,1.52,1.48,3.67,0.64,2.52,1.46,1.44,0.69,5.14,2.29,3.16,1.72,4.83,5.91,6.68,1.14,,
March,,1.93,1.69,4.5,1.54,5.42,1.62,1.02,4.54,4.19,1.44,2.24,5.46,4.18,5.14,1.27,5.65,2.19,,
April,,2.49,1.38,2.46,1.33,1.89,0.81,3.27,4.12,1.93,2.83,1.38,0.01,4.36,1.01,1.08,1.59,2.05,,
May,,0.83,2.14,3.93,3.18,0.78,1.4,1.93,2.46,2.08,2.12,1.9,1.77,2.83,1.72,4.8,0.97,2.83,,
June,,1.82,3.9,5.26,0.93,4.25,3.45,3.33,1.22,4.07,4.57,2.68,4.18,0.6,1.96,2.27,2.12,2.08,,
July,,2.49,1.22,2.84,1.96,0.77,0.83,2.31,2.77,2.84,2.32,0.01,2.37,1.63,3.14,4.45,1.13,4.59,,
August,,2.08,4.08,3.76,2.61,3.75,1.16,1.41,4.34,3.12,2.88,1.36,7.65,1.32,2.05,2.96,3.85,6.25,,
September,,2.01,1.24,2.4,1.58,1.53,0.7,0.79,2.69,3.52,0.33,1.52,2.83,3.07,0.6,3.3,1.78,2.32,,
October,,1.85,1.89,8.71,1.61,2.04,5.29,6.13,1.38,7.66,5.69,2.83,4.1,4.52,2.13,2.39,4.52,4.62,,
November,,0.57,2.61,1.88,1.42,3.5,4.5,2.97,1.16,0.98,4.85,4.44,2.63,3.29,3.17,4.72,5.21,0.69,,
December,,4.81,1.81,2.35,2.91,0.91,2.25,5.17,2.91,5.48,6.76,9.44,4.85,1.66,8,8.07,3.92,1.09,,
Total,,24.16,24.37,42.64,26.93,25.99,29.35,30.33,30.69,37.5,42.11,31.81,44.18,34.43,34.74,45.36,40.15,31.1,,
,,,,,,,,,,,,,,,,,,,,
NGR is Sandleford Priory. Stated altitude might be 20 to 30 ft. too high.,,,,,,,,,,,,,,,,,,,,
