"NEWBURY SANDLEFORD PRIORY",,,,,,,,,,,,
Grid ref,SU477645,Long,-1.316045,Lat,51.377557,,,,,,,
Station no,RR4736,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.42,0.89,3.07,4.19,0.51,4.82,0.54,1.66,0.94,,
February,,1.86,1.52,1.48,3.67,0.64,2.52,1.46,1.44,0.69,,
March,,1.93,1.69,4.50,1.54,5.42,1.62,1.02,4.54,4.19,,
April,,2.49,1.38,2.46,1.33,1.89,0.81,3.27,4.12,1.93,,
May,,0.83,2.14,3.93,3.18,0.78,1.40,1.93,2.46,2.08,,
June,,1.82,3.90,5.26,0.93,4.25,3.45,3.33,1.22,4.07,,
July,,2.49,1.22,2.84,1.96,0.77,0.83,2.31,2.77,2.84,,
August,,2.08,4.08,3.76,2.61,3.75,1.16,1.41,4.34,3.12,,
September,,2.01,1.24,2.40,1.58,1.53,0.70,0.79,2.69,3.52,,
October,,1.85,1.89,8.71,1.61,2.04,5.29,6.13,1.38,7.66,,
November,,0.57,2.61,1.88,1.42,3.50,4.50,2.97,1.16,0.98,,
December,,4.81,1.81,2.35,2.91,0.91,2.25,5.17,2.91,5.48,,
Total,,24.16,24.37,42.64,26.93,25.99,29.35,30.33,30.69,37.50,,
Calc annual,0.00,24.16,24.37,42.64,26.93,25.99,29.35,30.33,30.69,37.50,,
Difference,NaN,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
