MABLETHORPE - TRUSTHORPE HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF500821,Long,0.250,Lat,53.315,Elevation,10,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939
January,,1.62,1.75,2.69,2.72,1.75,3.50,0.96,2.49,1.98,3.87,2.30,2.21,3.88,0.61,2.56,1.84,2.04,1.71,4.03,2.18,2.24,2.89,1.40,1.82,1.52,2.32,2.75,3.67,2.36,3.65
February,,2.61,1.50,1.02,0.65,1.08,3.02,4.75,0.94,1.32,3.09,1.46,0.42,2.70,3.32,1.21,2.64,1.30,1.87,2.04,0.61,0.97,1.90,0.81,2.24,0.95,2.34,2.95,2.53,0.56,0.42
March,,0.71,2.22,2.08,2.46,2.42,1.16,5.02,1.24,0.90,2.88,1.84,1.10,2.75,2.02,0.85,1.84,0.33,1.59,1.23,0.16,1.37,0.86,2.07,2.83,1.74,0.44,0.88,2.60,0.24,2.08
April,,2.22,0.80,0.14,2.04,0.90,0.38,1.24,2.38,1.89,1.75,4.79,1.49,1.25,1.15,1.69,2.48,1.49,1.98,1.22,0.57,2.61,2.20,2.68,0.93,1.88,3.18,1.19,2.73,0.29,1.58
May,0.76,2.02,1.16,2.30,2.40,1.10,1.06,2.42,1.25,2.40,0.79,1.93,1.78,0.64,2.46,2.58,2.95,2.00,0.83,1.62,0.92,1.54,2.54,3.85,1.29,1.07,0.22,1.32,3.42,2.27,1.05
June,3.36,1.25,4.09,4.09,0.67,1.36,0.91,2.45,2.05,0.37,0.85,1.41,0.48,1.13,0.82,1.54,0.18,3.40,2.68,1.55,1.31,2.12,2.96,0.80,1.74,1.05,2.42,4.28,1.17,0.87,3.06
July,3.42,2.75,0.28,2.63,0.26,1.28,6.20,1.60,0.86,3.97,3.32,2.68,0.32,5.06,3.13,2.75,1.18,1.40,2.32,0.97,1.33,5.27,4.20,2.96,1.31,0.83,0.48,5.08,1.94,2.40,2.01
August,3.41,2.47,1.17,4.96,0.37,1.09,2.93,1.66,6.21,2.62,3.49,1.35,2.40,1.92,2.66,2.45,2.04,1.91,4.42,2.53,1.12,1.94,3.09,2.55,0.75,2.31,1.49,1.31,0.70,1.90,1.18
September,1.41,0.53,1.90,1.90,1.58,1.22,1.24,1.01,1.17,3.80,2.34,1.85,1.03,2.57,3.10,3.75,2.50,0.90,3.70,0.22,0.44,4.27,2.27,2.35,1.43,1.54,3.36,1.99,1.01,2.81,2.42
October,3.80,1.87,2.69,2.21,2.63,1.49,1.31,2.62,3.25,1.55,1.98,1.04,1.80,2.03,2.10,5.44,2.24,2.77,1.69,3.16,2.91,1.46,1.28,3.63,2.89,1.45,2.51,2.40,1.63,2.84,3.07
November,0.67,2.98,2.83,2.20,2.07,2.79,3.44,3.95,1.80,2.45,3.30,0.72,1.75,1.87,4.13,2.60,2.79,2.52,3.31,2.05,3.63,3.17,2.26,1.75,2.15,1.75,3.42,2.38,2.09,2.41,4.37
December,4.58,3.47,3.63,2.81,0.74,5.66,5.65,4.04,1.40,3.71,4.03,3.07,2.24,3.62,3.57,3.42,1.99,0.69,2.85,2.06,4.46,1.97,1.14,0.90,0.56,3.28,2.17,1.44,3.49,3.87,2.77
Total,,24.50,24.02,29.03,18.59,22.14,30.80,31.72,25.04,26.96,31.69,24.44,17.02,29.42,29.07,30.84,24.67,20.75,28.95,22.68,19.64,28.93,27.59,25.75,19.94,19.37,24.35,27.97,26.98,22.82,27.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
