SHEFFIELD TINSLEY LOCKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK395903,Long,-1.40728,Lat,53.408044,Elevation,143,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,1.81,1.45,3.65,2.73,2.01,2.32,1.29,4.26,2.83,1.07,0.08,0.25,2.74,3.19,3.89,1.27,3.2,2.11,0.42,1.27,2.93,1.54,1.25,1.3,1.7,3.66,0.87,2.1,0.55,2.42,2.86,1.78,0.75,2.54,2.07,0.77,3.13,0.91,1.13,1.37,2.43,0.69,3.89,2.96,1.06,3.03,0.81,2.16,1.24,3.45,2.76,1.67,3.52,,,,,,,,
February,0.99,2.11,2.4,1.1,1.74,1.11,3.01,1.79,0.91,2.74,2.14,2.98,1.37,2.18,1.54,2.27,0.37,0.53,0.57,1.1,0.87,0.04,2.37,2.9,3.57,0.06,0.73,3.07,1.01,1.56,3.09,1.11,0.93,1.72,3.59,1.06,2.24,1.74,1.95,0.35,2.14,1.63,1.59,1.17,1.29,3.08,3.49,0.48,1.61,2.19,2.31,0.18,1.95,,,,,,,,
March,1.94,1.34,2.22,2.67,1.61,0.68,4.06,3.21,0.68,0.92,2.03,3.67,1.26,0.76,1.77,1.31,2.11,1.12,2.39,3.66,1.9,1.52,0.87,0.44,0.93,1.82,2.62,3.04,1.42,0.68,0.41,1.41,1.5,2.81,1.66,2.13,1.22,1.45,2.59,4.27,0.63,0.69,2.63,3.48,2.02,0.57,3.84,1.4,1.17,4.06,1.5,0.94,1.4,,,,,,,,
April,1.46,2.94,4.23,0.63,2.22,0.75,1.79,3.15,1.46,3.03,1.5,0.79,3.36,2.92,1.82,1.53,1.6,0.78,1.32,3.07,0.35,2.15,0.91,0.41,3.01,1.98,1.44,1.54,2.59,1.84,0.74,1.39,2.92,1.35,1.99,1.86,0.37,1.33,1.78,1.35,1.9,0.74,0.19,2.63,0.91,0.9,0.55,0.77,1.21,1.26,3.5,0.53,3.07,,,,,,,,
May,0.98,1.53,2.23,2.08,1.34,1.64,0.8,3.32,3.29,3.4,2.15,1.7,1.58,0.99,0.93,1.7,6.06,1.51,0.46,3.96,2.99,2.9,3.14,2.42,1.36,0.94,0.44,0.79,2.33,2.38,1.49,0.87,2.25,2.79,2,0.42,1.14,3.34,2.26,1.52,1.79,0.84,2.93,1.71,1.13,1.17,1.99,1.67,2.01,1.07,2.97,0.35,0.54,,,,,,,,
June,1.41,4.05,3.85,1.6,1.06,2.85,3.45,2.69,1.69,4.51,3.32,1.43,2.98,2.76,1.01,2.39,0.84,0.23,1.78,0.33,1.46,2.51,3.47,1.14,2.11,2.71,2.92,2.34,0.98,1.96,2.33,0.96,1.48,1.14,0.31,2.33,2.02,2.55,1.11,2.47,2.59,3.31,3.27,0.61,0.78,1.03,0.52,1.71,0.36,0.55,2.4,0.27,0.52,,,,,,,,
July,0.9,3.08,7.11,1.74,1.46,3.94,1.47,2.05,0.77,3.45,5.84,0.99,2.5,2.25,3.38,0.41,2.93,1.01,4.13,1.31,1.86,1.37,2.07,2.86,2.52,4.18,1.16,0.74,1.97,1.12,1.86,2.49,1.83,2.14,1.93,0.96,1.39,2.02,1.95,3.32,1.94,0.01,5.61,0.89,3.35,4.3,1.28,0.8,3.45,4.38,3.73,0.08,3.41,,,,,,,,
August,0.79,1.68,2.89,2.14,3.01,4.33,1.66,4.88,6.49,3.71,1.71,4.6,1.57,0.98,1.37,2.86,1.6,1.36,1.85,2.12,2.39,2.5,2.05,1.18,2.1,2.19,1.91,2.17,3.28,0.76,4.57,0.88,3.73,4.16,3.38,2.76,1.34,0.85,2.3,1.9,2.81,1.86,5.1,1.58,1.22,3.46,1.14,3.54,1.09,2.56,0.58,3.7,4.47,,,,,,,,
September,1.25,4.29,3.37,2.16,2.04,3.19,4.73,3.13,2.22,1.72,4.31,2.13,2.23,4.48,0.93,1.57,1.08,1.93,0.91,1.46,1.36,2.09,1.9,0.82,0.73,0.78,3.96,1.82,0.44,2.73,0.46,0.83,0.99,2.64,0.85,0.9,0.62,0.29,0.86,2,0.1,1.99,1.36,2.5,2.41,0.93,0.79,0.7,5.35,1.91,0.93,0.57,1.77,,,,,,,,
October,6.71,2.57,5.31,1.87,3.08,6.81,2.96,2.6,2.25,0.8,6.33,3.12,4.65,2.8,0.95,5.67,4.3,2.12,0.67,3.02,0.88,3.35,4.76,1.53,3.85,3.4,2.97,1.05,3.11,2.36,2.46,1.61,2.42,5.26,0.33,1.29,4.41,4.57,0.7,2.16,1.7,2.03,1.76,3.35,3.17,1.42,1.88,2.65,1,2.41,1.84,1.35,0.7,,,,,,,,
November,2.07,1.14,4.42,2.58,2.4,4.39,4.11,3.88,3.7,1.39,2.38,2.21,2.75,2.59,0.69,2.01,1.17,1.37,4.6,0.38,2.74,2.45,1.36,1.63,1.07,3.14,1.1,2.31,1.83,1.22,2.27,3.24,2.26,1.11,1.61,2.93,2.47,2.44,1.07,0.16,2.79,2.92,1.73,2.42,4.64,2.43,2.65,1.8,1.12,1.44,0.72,1.32,0.65,,,,,,,,
December,2.72,1.52,4.23,0.24,3.05,1.22,7.46,2.53,1.62,1.25,3.31,2.34,4.2,1.08,1.89,0.52,3.7,1.51,1.66,1.15,0.49,4.23,0.42,2.94,1.55,2.93,3.34,2.75,2.62,2.1,3.68,5.27,2.35,0.99,1.24,0.15,0.94,1.9,1.52,4.28,3.49,4.76,2.19,1.18,6.7,6.4,1.66,0.65,2.65,3.41,2.21,3.03,2.66,,,,,,,,
Total,23.03,27.7,45.91,21.54,25.02,33.23,36.79,37.49,27.91,27.99,35.1,26.21,31.19,26.98,20.17,23.51,28.96,15.58,20.76,22.83,20.22,26.65,24.57,19.57,24.5,27.79,23.46,23.72,22.13,21.13,26.22,21.84,23.41,28.65,20.96,17.56,21.29,23.39,19.22,25.15,24.31,21.47,32.25,24.48,28.68,28.72,20.6,18.33,22.26,28.69,25.45,13.99,24.66,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887 May and Dec both 1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895 gauge must have moved as elevation decreases to 117 ft but no details of move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904  Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This MS&L Railway Company site is part of its Sheffield and South Yorkshire Navigation system of canals and waterways, which came under MS&LR control in 1864.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&LR were forced to divest these canals and waterways in 1895.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&LR owned the Sheffield and Tinsley Canal on which Tinsley Locks are situated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The lower locks are a good match for the 143 ft elevation given on the early rainfall sheets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The change of elevation to 117 ft in 1895 corresponds with MS&LR selling the Sheffield and Tinsley Canal, and may indicate a move of the gauge to a nearby railway location, perhaps to Tinsley Station (SK397908) which is at about the right elevation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
