LOCH TAY (LOCHAN BREACHLAICH),,,,,,,,,,,,
Grid ref,NN618316,Long,-4.244132,Lat,56.456231,,,,,,,
Station no,5555/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,4.90,-999.00,8.75,5.20,3.05,6.30,,
February,,,,,2.40,-999.00,4.12,0.83,3.22,7.58,,
March,,,,,1.50,-999.00,-999.00,1.60,5.83,3.02,,
April,,,,,2.07,-999.00,1.75,1.95,5.06,7.50,,
May,,,,,2.81,-999.00,2.26,3.31,1.78,4.95,,
June,,,,,2.37,-999.00,1.54,3.78,3.43,3.07,,
July,,,,,1.04,-999.00,4.26,4.97,5.35,5.15,,
August,,,,,1.56,-999.00,5.65,6.88,3.78,3.92,,
September,,,,,4.80,-999.00,2.85,5.57,1.70,4.82,,
October,,,,,4.80,-999.00,3.98,6.05,7.00,7.81,,
November,,,,,2.87,-999.00,1.72,2.06,12.51,9.15,,
December,,,,,9.14,-999.00,7.45,9.16,14.42,8.60,,
Total,,,,73.40,-999.00,-999.00,50.13,51.36,67.13,71.87,,
Calc annual,0.00,0.00,0.00,0.00,40.26,0.00,44.33,51.36,67.13,71.87,,
Difference,NaN,NaN,NaN,73.40,-1039.26,-999.00,5.80,0.00,0.00,0.00,,
