HOLMEBRIDGE YATEHOLME FARM,,,,,,,,,,,,,,,,,,,,
Grid ref,SE113048,Long,-1.830206,Lat,53.540175,Elevation,917,ft.,,,,,,,,,,,,
Station no,3179,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,7.4,,3.2,,,,,,,,,
February,,,,,,,,,1.2,,7.2,,,,,,,,,
March,,,,,,,,,3.8,,4.3,,,,,,,,,
April,,,,,,,,,2.4,,4,,,,,,,,,
May,,,,,,,,,5.4,,3.4,,,,,,,,,
June,,,,,,,,,4.1,,4.3,,,,,,,,,
July,,,,,,,,,0.9,,7.3,,,,,,,,,
August,,,,,,,,,6.5,,1.2,,,,,,,,,
September,,,,,,,,,5.8,,5.9,,,,,,,,,
October,,,,,,,,,4.9,,8,,,,,,,,,
November,,,,,,,,,4,,6.4,,,,,,,,,
December,,,,,,,,,2.3,,7.7,,,,,,,,,
Total,,,,42.6,50.4,52.7,56.5,67.7,48.7,47.5,62.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is ""far side of Yateholme Farm"", as quoted in the 1880's record, and set at about the correct elevation. Gauge moved about 500 yards ENE in 1881",,,,,,,,,,,,,,,,,,,,
