"INNERLEITHEN LEITHEN LODGE",,,,,,,,,,,,
Grid ref,NT320427,Long,-3.082750,Lat,55.673015,,,,,,,
Station no,RR1281,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.35,2.84,2.79,6.00,2.62,1.60,4.06,2.28,4.51,4.95,,
February,8.40,3.00,2.03,5.10,3.72,1.75,2.00,3.09,3.25,2.77,,
March,2.00,2.61,1.87,4.52,2.22,4.52,4.28,2.36,6.86,9.48,,
April,2.71,2.08,2.15,2.03,2.42,2.48,1.06,2.96,2.60,3.07,,
May,1.48,1.79,3.88,1.99,3.84,1.27,5.76,3.00,2.10,3.27,,
June,4.10,2.98,2.00,2.47,1.78,1.66,1.79,3.49,1.10,2.02,,
July,3.60,0.74,2.19,3.44,2.39,1.74,2.40,2.84,2.95,3.46,,
August,4.19,5.40,1.54,4.40,2.43,3.14,5.78,3.86,3.44,2.00,,
September,2.15,1.44,2.08,2.55,1.41,1.87,0.98,1.34,4.48,2.76,,
October,4.85,2.78,1.58,8.65,0.88,2.80,5.36,8.98,1.73,5.00,,
November,4.65,4.97,2.67,2.55,3.36,4.33,4.27,3.43,1.79,1.43,,
December,5.59,9.36,5.46,2.83,5.35,1.61,3.62,4.84,1.85,6.18,,
Total,47.07,39.99,30.24,46.53,32.42,28.77,41.36,42.47,36.66,46.39,,
Calc annual,47.07,39.99,30.24,46.53,32.42,28.77,41.36,42.47,36.66,46.39,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
