"PITMINSTER (BLAGDON HILL)",,,,,,,,,,,,
Grid ref,ST210168,Long,-3.125874,Lat,50.945204,,,,,,,
Station no,2061,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.10,4.80,1.00,2.77,7.29,6.09,3.17,,,,,
February,7.38,1.11,1.94,4.04,4.47,0.29,6.21,,,,,
March,5.29,4.22,1.13,6.58,1.79,2.16,3.95,,,,,
April,3.70,3.54,4.09,0.48,1.20,2.03,0.23,,,,,
May,5.40,3.69,2.44,2.82,4.32,0.57,2.14,,,,,
June,1.76,1.81,2.61,4.28,4.83,1.93,3.84,,,,,
July,2.01,2.03,2.56,3.37,3.10,3.45,3.85,,,,,
August,4.62,6.85,2.38,3.48,0.63,4.25,3.47,,,,,
September,3.96,4.46,5.08,3.74,1.54,7.30,4.26,,,,,
October,0.94,5.42,4.22,3.70,2.20,2.14,2.73,,,,,
November,10.62,5.13,2.62,10.39,6.31,1.08,2.63,,,,,
December,3.98,4.39,1.61,3.99,6.95,7.45,4.10,,,,,
Total,54.76,47.45,31.68,49.64,44.63,38.74,40.58,,,,,
Calc annual,54.76,47.45,31.68,49.64,44.63,38.74,40.58,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
