POTTERS BAR (PLAYING FIELDS),,,,,,,,,,,,
Grid ref,TL241017,Long,-0.205644,Lat,51.700332,,,,,,,
Station no,876/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,2.28,,
February,,,,,,,,,,2.23,,
March,,,,,,,,,,1.64,,
April,,,,,,,,,,0.55,,
May,,,,,,,,,,2.23,,
June,,,,,,,,,1.06,1.47,,
July,,,,,,,,,2.00,3.61,,
August,,,,,,,,,1.70,2.79,,
September,,,,,,,,,0.06,3.28,,
October,,,,,,,,,1.77,5.71,,
November,,,,,,,,,2.44,4.08,,
December,,,,,,,,,4.27,2.88,,
Total,,,,,,,,,,32.75,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,32.75,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
