GREENFIELD-SEWAGE-DISPOSAL-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD992043,Long,-2.0135405,Lat,53.535351,Elevation,499,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3095/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.43,2.63,3.54,4.16,4.8,5.3,1.59,1.66,4.01,5.7,6.42,5.27,4.99,3.1,10.67,2.23,2.7,5,5.05,2.03,4.86,3.28,5.99,4.28,4.34,4.34,6.03
February,,,,0.32,5.6,2.7,6.43,1.96,4.43,2.41,4.4,1.28,2.94,2.72,4.9,6.76,0.86,2.84,2.53,5.47,3.55,1.64,2.35,3.24,2.18,1.85,3.92,6.67,0.54,2.48
March,,,,3.265,2.33,2.87,2.26,1.31,2.93,3.39,4.48,2.6,1.71,0.7,1.53,1.4,6.03,1.3,1.75,2.28,4.89,2.75,2.59,2.77,2.54,1.53,3.98,2.69,2.39,1.11
April,,,,2.81,3.58,1.56,3.2,0.52,2.17,3.04,2.6,2.4,2.4,3.26,2.73,1.81,3.32,2.19,4.33,4.24,2.94,4.09,3.31,0.97,2.39,3.42,0.89,1.42,4.39,2.54
May,,,,3,0.87,1.85,2.71,4.25,2.48,1.12,2.41,4.65,2.81,4.02,4.31,1.57,3.23,1.41,2.8,1.73,2.36,2.49,3.19,4.19,4.52,1.85,1.34,4.34,1.31,2.24
June,,,,2.36,3.42,4.14,2.07,4.66,3.86,0.98,2.44,1.26,4.46,3.74,6.15,3.38,2.35,5.17,0.95,2.72,1.38,3,3.56,4.29,3.32,3.39,2.7,6.02,2.94,2.05
July,,,,4.14,2.56,4.8,2.46,4.78,8.03,5.94,2.58,3.97,2.88,3.95,2.11,7.44,2.92,2.19,2.15,3.8,4.9,3.92,7.67,6.86,1.39,7.64,5.01,5.17,3.7,9.24
August,,,,4.11,2.28,3.22,1.11,3.62,2.02,2.62,7.44,4.12,6.93,4.44,3.64,4.79,0.4,5.3,3.44,6.02,6.9,3.18,5.73,6.49,0.74,10.76,6.16,5.25,0.53,7.46
September,,,,3.145,6.32,5.65,1.7,1.62,1.28,4.77,0.61,2.54,5.26,6.31,2.98,7.02,2.69,2.96,2.08,6.69,2.97,3.75,2.96,5.27,2.93,3.83,7.2,5.1,0.29,4.09
October,,,4.14,5.895,9.05,5.14,1.96,8.72,2.6,3.53,6.23,6.95,3.08,4.74,6.75,0.99,1.12,2.98,3.92,2.87,1.11,4.67,2.52,7.71,2.46,3.43,5.78,3.98,3.94,5.69
November,,,2.26,2.455,5.27,5.99,2.07,4.78,7.19,7,2.94,1.02,3.68,9.86,0.91,7.06,6.56,2.37,6.95,7.07,8.39,3.05,4.41,7.48,2,1.77,3.1,2.46,6.28,6.8
December,,,0.71,5.54,3.35,3.55,3.18,4.44,4.76,5.21,2.81,3.64,2.57,4.45,3.1,4.05,4.24,4.47,7.27,2.73,6.05,3.95,1.76,7.34,5.03,4.85,5.18,4.41,6.71,4.8
Total,,,,40.47,47.26,45.01,33.31,45.46,47.05,41.6,40.6,38.44,44.42,54.61,44.38,51.26,36.82,43.85,40.4,48.32,50.44,41.54,42.08,61.47,32.78,50.31,49.54,51.85,37.36,54.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is the sewage works. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11932 and is current but start date is! 1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
