BALDERHEAD HOUSE,,,,,,,,,,
Grid ref,NY911187,Long,-2.139,Lat,54.563,Elevation,1100,ft,,
Station no,RR6025,,,,,,,,,
,,,,,,,,,,
,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884
January,,1.05,6.45,4.15,1.30,1.10,,2.40,5.30,5.80
February,,6.25,3.45,2.50,3.15,4.70,,4.00,3.10,
March,,6.50,6.20,2.90,2.95,1.90,,3.70,1.80,
April,,3.30,4.15,3.75,2.20,2.85,,4.50,-999.00,
May,,1.00,2.80,5.65,2.80,2.00,2.80,2.20,-999.00,
June,,2.30,2.40,3.65,,3.15,-999.00,4.95,3.40,
July,,2.40,5.35,1.60,,6.50,-999.00,5.20,3.00,
August,,3.60,8.65,5.15,4.70,1.70,6.20,-999.00,3.80,
September,,5.20,3.00,3.80,2.50,5.70,5.80,-999.00,3.10,
October,5.70,2.90,5.35,4.35,2.25,,6.50,3.20,4.10,
November,6.40,5.30,7.00,3.90,2.35,,3.90,-999.00,3.30,
December,2.90,9.90,3.10,2.60,2.80,,3.90,-999.00,3.60,
Total,,49.70,57.90,44.00,,,,48.15,38.10,
,,,,,,,,,,
TYRain_1870-1879_08_pt3/077,,,,,,,,,,
TYRain_1880-1889_11_pt2/069,,,,,,,,,,
,,,,,,,,,,
# The readings for June-July 1881 are grouped into a single aggregate reading of 6.80 on the sheet.,,,,,,,,,,
# The readings for August-September 1882 are grouped into a single aggregate reading of 6.30 on the sheet.,,,,,,,,,,
# The readings for November-December 1882 are grouped into a single aggregate reading of 11.70 on the sheet.,,,,,,,,,,
# The readings for April-May 1883 are grouped into a single aggregate reading of 3.60 on the sheet.,,,,,,,,,,
