PITLOCHRY DUNAVOURD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN957570,Long,-3.704598,Lat,56.693044,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,1.6,6.15,2.15,2.5,2.2,5.8,4.1,1.6,1.6,1.6,4,2.87,2.98,1.61,5.93,2.62,1.24,4.38,1.95,,
February,,,,,,,,,,2.1,1.55,0.3,1.5,3.8,6.8,0.5,0.8,1.9,2.7,2.72,3.03,1.39,0.99,5.64,4.32,1.96,2.81,2.83,,
March,,,,,,,,,,1.3,3.35,3.4,0.4,0.7,2.3,1,2.5,5.5,0.7,1.91,1.02,2.3,1.73,6.3,1.76,4.63,2.08,1.84,,
April,,,,,,,,,,2.7,1.1,2.25,0.2,0.9,1.2,1,1.3,1.9,3.9,4.03,2.78,1.8,2.66,1.8,3.18,2.46,1.29,3.24,,
May,,,,,,,,,,3.7,1.6,1.95,2,0.8,2,0.5,0.6,1.5,1.9,2.91,2.86,1.9,1.43,1.47,1.84,1.53,5.94,3.38,,
June,,,,,,,,,,0.9,2.2,0.8,2.5,1.7,2.7,1.8,3.5,5.5,1.6,1.67,3.28,2.22,1.79,2.01,1.34,1.1,0.66,3.08,,
July,,,,,,,,,,1.65,3.1,3,2.3,2.9,3.2,3,2.6,1.9,0.9,2.58,3.42,1.38,2.16,3.33,1.61,1.59,1.63,2.17,,
August,,,,,,,,,,6.15,2.1,4.55,3.7,3.2,4,6,1.8,5.3,2.8,0.91,3.05,3.91,2.64,4.79,3.66,4.11,4.47,4.68,,
September,,,,,,,,,,1,2.4,2.55,2.4,1.4,0.1,1.3,3.4,1.8,3.5,4.52,2.28,3.77,2.67,2.74,2.42,1.87,1.36,1.2,,
October,,,,,,,,,,3.4,3.35,4.8,3.8,2.9,2.2,2.4,2.1,2.7,4.8,1.92,3.72,3.07,1.34,6.9,0.87,2.67,4.62,3.59,,
November,,,,,,,,,,1.4,5,4.2,3.2,2.1,2.3,4.9,1,2.5,5.6,5.53,3.46,1.23,5.29,1.28,1.4,4.55,4.69,2.33,,
December,,,,,,,,,,2.45,0.75,4.7,1,3.8,2.7,4.7,5.8,4.7,5.2,4.07,5.62,3.53,6.26,3,2.49,2.28,2.42,2.77,,
Total,,,,,,,,,,28.35,32.65,34.65,25.5,26.4,35.3,31.2,27,36.8,35.2,36.77,37.39,29.48,30.57,45.19,27.51,29.99,36.35,33.06,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908 Total deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
