ABBERLEY,,,,,,,,,,
Grid ref,SO746662,Long,-2.37384,Lat,52.293338,Elevation,580,ft,,
Station no,2391/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,5.31
February,,,,,,,,,,2.23
March,,,,,,,,,,1.65
April,,,,,,,,,,1.03
May,,,,,,,,,1.29,1.44
June,,,,,,,,,1.43,1.76
July,,,,,,,,,1.61,2.96
August,,,,,,,,,3.36,3.7
September,,,,,,,,,0.16,4.03
October,,,,,,,,,2.65,6.65
November,,,,,,,,,3.75,4.18
December,,,,,,,,,5.02,3.32
Total,,,,,,,,,,38.26
,,,,,,,,,,
No elevation on record so taken from OS map at NGR on record,,,,,,,,,,
10010,ABBERLEY ,01/01/1959,31/12/1981,,,,,,,
