LAMPORT-HALL (GRANGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP754738,Long,-0.89391,Lat,52.35716,Elevation,480,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.37,1.51,1.73,1.09,3.94,3.81,3.15,4.98,3.17,4.03,2.81,4.02,1.85,2.61,2.21,1.98,4.75,0.97,0.82,2.36,,1.07,1,2.09,3.86,1.25,2.79,3.41,4.14
February,,0.48,2.58,0.5,2.48,2.04,3.47,1,0.98,2.58,1.91,1.27,1.17,1.27,1.8,2.55,2.08,1.09,1.09,3.78,3.09,,1.58,2.49,1.75,0.48,2.69,2.98,0,1.56
March,,1.53,2.8,1.78,0.54,1.73,3.15,0.26,1.77,2.1,3.48,1.52,1.01,0.21,0.8,1.24,5.66,0.78,1.59,1.01,3.31,,0.99,2.45,2.48,0.79,1.7,1.86,2.3,1.95
April,,3.26,0.8,1.72,3.15,2.37,3.32,0.13,1.98,3.17,1.7,1.12,0.88,1.95,1.02,2.32,2.01,1.64,2.03,2.48,2.87,1.93,1.99,0.27,0.65,1.05,0.31,0.74,2.12,0.56
May,,4.59,1.03,0.94,1.03,1.05,4,1.77,1.11,1.65,2.17,3.69,2.33,0.99,2.43,2.25,1.19,3.23,1.97,2.69,3.73,2.39,1.61,1.95,3.7,0.51,1.36,2.32,0.34,0.99
June,,0.74,2.07,0.99,4.44,3.65,1.84,1.42,1.64,0.71,2.01,0.3,2.17,2.87,2.58,3.07,1.56,2.22,0.45,2.37,1.24,1.47,3.37,2.6,2.54,2.53,2.18,3.78,0.5,2.94
July,,2.85,2.71,2.33,0.61,5.35,1.78,2.79,2.83,3.65,4.42,2,1.04,2.35,1.88,1.48,3.18,1.32,2.24,3.02,,0.37,2.42,2.69,0.19,3.25,3.39,3.15,1.56,3.12
August,,1.99,0.69,1.67,2.04,0.56,1.21,3.09,4.17,0.18,4.46,2.41,2.33,2.44,1.22,3.91,0.35,3.58,0.97,2.44,,3.58,2.41,4.21,0.35,5.09,2.38,2.51,1.01,3.29
September,,2.9,1.32,3.05,3.81,3.13,1.23,1.71,0.83,0.64,0.47,0.83,2.02,2.39,2.34,4.52,1.57,3.1,1.78,4.2,,2.45,1.67,2.45,1.83,2.03,5.06,2.02,0.05,4.15
October,,3.56,2.34,1.61,3.43,2.13,3.05,2.79,4.66,3.41,2.3,3.01,1.68,2.92,3.68,1.33,0.32,3.44,5.75,0.6,,3.19,2.23,2.18,1.46,1.35,1.32,2.39,1.67,5.63
November,,2.48,1.44,2.3,4.74,2.88,1.42,2.91,3.76,6.87,2.96,2.62,1.81,3.42,0.43,6.17,1.63,1.79,2.95,4.26,,2.49,1.7,4.94,0.54,0.7,1.62,1.8,2.01,2.91
December,,0.61,0.2,5.08,3.4,2.04,2.26,3.73,1.63,1.85,1.09,2.1,0.88,1.27,3.11,2.13,2.48,2.86,2.17,1.08,,2.29,0.94,2.59,1.93,3.69,2.88,2.17,4.18,2.93
Total,,26.36,19.49,23.7,30.76,30.87,30.54,24.75,30.34,29.98,31,23.68,21.34,23.93,23.9,33.18,24.01,29.8,23.96,28.75,,,21.98,29.82,19.51,25.33,26.14,28.51,19.15,34.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
