LAMPORT-HALL (GARDENS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP760745,Long,-0.88499,Lat,52.3634,Elevation,440,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,3.34,3.75,,2.27,1.73,1.84,2.31,4.31,2.62,2.63,4.38,1.39,2.37,1.56,3.34,2.6,4.15,1.28,3.34,1.81,,,,,,,,,
February,,,1.69,,,2.48,3.68,0.97,1.33,2.82,0.68,0.33,2.39,4.21,0.71,2.73,3.61,3.1,2.12,0.96,0.86,2.9,,,,,,,,,
March,,,2.6,,,1.12,3.03,1.14,0.92,4.15,2.27,1.11,1.69,1.87,0.84,1.01,0.57,2.08,1.54,0.05,1.85,0.09,,,,,,,,,
April,,,0.18,,,0.82,1.1,1.69,2.94,2.14,4.49,1.17,3.74,1.83,3.99,1.84,2.76,1.66,1.7,1.77,2.59,3.76,,,,,,,,,
May,,,1.96,,,1.9,1.59,1.66,1.7,1.17,2.03,1.48,0.93,1.06,3.24,3.77,2.35,0.61,1.22,1.43,2.85,2.57,,,,,,,,,
June,,,3.22,,,0.2,1.81,3.07,0.5,0.8,2.69,0.48,1.2,0.7,2.88,0.04,2.32,4.02,2.53,1.4,1.07,1.66,,,,,,,,,
July,,,3.89,,,4.21,2.07,1.48,2.64,2.36,3.21,0.21,4.14,3.69,2.86,1.76,1.97,2.46,2.49,1.15,3.37,3.31,,,,,,,,,
August,,,7.29,,,2.16,4.06,5.29,0.89,1.89,1.07,2.43,4.75,1.86,2.55,1.54,1.37,4.17,2.28,1.31,2.47,2.89,,,,,,,,,
September,,,1.11,,,1.2,0.87,1.71,4,1.86,1.93,1.13,2.15,2.83,3.29,3.1,1.32,4.82,1.07,1.05,4.85,2.96,,,,,,,,,
October,,,2.66,,,1.68,2.52,3.27,1.67,1.59,1.08,1.45,1.1,4.18,4.65,3.24,2.47,2.29,4.87,3.07,1.45,0.5,,,,,,,,,
November,,,1.84,,,2.55,3.47,0.98,1.95,1.86,1.52,1.65,1.33,2.19,2.27,1.93,4,3.52,3.38,5.82,3.42,2.81,,,,,,,,,
December,,,3.11,,,4.72,2.94,0.83,2.49,4.09,2.6,1.82,2.67,2.9,3.21,2.68,0.69,2.52,2.66,4.98,2.68,1.06,,,,,,,,,
Total,,,32.89,,,25.31,28.87,23.93,23.34,29.04,26.19,15.89,30.47,28.71,32.86,25.2,26.77,33.85,30.01,24.27,30.8,26.32,,,,,,,,,
