CAMBERLEY-WOODLANDS-ROAD,,,,,,,,,,
Grid ref,SU867600,Long,-0.75691,Lat,51.3325,Elevation,216,ft,,
Station no,246/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.2,3.03,3.89,1.58,2.55,2.52,2.99
February,,,,2.62,1.51,0.24,2.99,2.56,0.12,2.65
March,,,,2.21,1.05,0.58,1.33,1.7,2.66,1.45
April,,,,0.27,0.33,1.22,0.35,1.02,2.27,0.68
May,,,,2.88,3.68,0.34,1.27,2.15,0.62,1.8
June,,,,3.74,2.23,2.25,0.74,3.07,0.96,1.82
July,,,,2.62,0.68,3.89,3.5,1.25,3.72,2.61
August,,,,2.88,1.33,3.3,2.17,3.66,1.78,3.56
September,,,,2.47,1.76,2.99,3.01,4,0.05,3.37
October,,,,2.25,3.91,3.37,1.78,2.5,2.53,
November,,,,4.96,2.8,0.54,2.8,2.62,2.93,
December,,,,2.71,2.71,3.42,2.52,2.59,4.04,
Total,,,,30.81,25.02,26.03,24.04,29.67,24.2,
,,,,,,,,,,
Unknown where this observer lived but NGR from sheet matches distances to church and station,,,,,,,,,,
1957 Oct 11 Inspection Observer is an enthusiast His small climate station in the back garden has the best possible layout Trees and shrubs are ruthlessly cut,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Shere SRC_ID 6068,,,,,,,,,,
1954-1990,,,,,,,,,,
