WHITCHURCH-LAVERSTOKE-MILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU491486,Long,-1.298115,Lat,51.234479,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,664/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.65,5.03,6.03,3.1,5.69,2.71,2.92,3.69,6.09,2.37,1.82,2.58,2.54,7.14,1,0.62,,,,,,,,,,
February,,,,,4.07,2.72,5.25,0.62,1.65,3.06,2.87,0.66,1.52,0.65,2.45,2.61,1.33,1.42,1.45,4.79,,,,,,,,,,
March,,,,,0.64,2.31,3.83,0.25,1.27,2.86,3.38,2.2,0.74,0.42,0.9,1.13,6.28,1.14,1.67,1.3,,,,,,,,,,
April,,,,,3.75,,2.58,0.08,2.48,1.29,2.15,1.91,0.93,1.51,0.99,2.46,2.3,1.65,1.64,2.65,,,,,,,,,,
May,,,,,1.39,,4.03,1.2,1.41,0.5,1.87,3.56,2.94,0.52,2.3,3.58,1.29,4.02,2.5,1.44,,,,,,,,,,
June,,,,,5.56,2.15,1.22,0.72,1.99,0.59,1.47,0.36,1.46,2.47,3.01,3.49,1.67,2.3,0.53,1.44,,,,,,,,,,
July,,,,,1.1,4.36,1.28,2.2,6.15,3.71,3.14,1.69,2.66,3.81,1.7,1.6,2.01,1.87,2.34,4.81,,,,,,,,,,
August,,,,,2.69,0.46,1.32,2.58,2.45,0.15,5.07,3.72,2.19,2.09,1.94,4.71,0.4,3.27,0.9,5.29,,,,,,,,,,
September,,,,,3.96,2.91,2.45,1.75,0.75,1.71,0.33,2.12,1.97,2.86,2.12,6.05,1.51,3.07,3.08,3.63,,,,,,,,,,
October,,,,,4.27,2.2,3.43,3.78,4.39,3.5,1.49,4.48,4.41,5.56,4.49,1.41,0.78,2.56,7.46,0.87,,,,,,,,,,
November,,,,,5.93,3.11,1.39,4.98,6.08,7.75,2.87,1.76,1.86,5.04,0.26,6.64,1.44,1.96,3.73,5.61,,,,,,,,,,
December,,,,,3.53,,3.9,4.15,1.5,1.71,1.72,4.4,1.88,2.76,4.91,2.7,3.7,5.28,1.71,1.94,,,,,,,,,,
Total,,,,,37.54,,36.71,25.41,35.81,29.54,29.28,30.55,28.65,30.06,26.89,38.96,25.25,35.68,28.01,34.39,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large site NGR taken from sheet although not on building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Apr May Dec Marked as estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Not printed Roof gauge - deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Not printed Unorthodox site - deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 Terminated Record unsatisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It is unknown if this was on the roof prior to 1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
