KINSFORD-GATE-QUARRY,,,,,,,,,,
Grid ref,SS744365,Long,-3.79472,Lat,51.1143,Elevation,1500,ft,,
Station no,2115/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,11,2.84,6.7,8.73,9.49,8.92,7.63,8.95,8.33
February,,2.21,4.39,7.87,6.63,1.12,7.84,8.74,0.71,5.98
March,,7.88,2.95,6.59,2.24,3.72,8.22,1.93,7.02,2.88
April,,5.49,5.2,2.91,5.41,2.66,0.88,2.61,5.76,4.84
May,,4.31,4.86,4.62,6.99,1.94,3.46,6.89,2.16,2.03
June,,3.57,3.62,6.27,5.64,4.56,2.18,5.21,3.62,3.8
July,3.08,3.06,11.16,12.32,2.78,8.46,9.38,5.36,5.43,12.37
August,10.06,12.39,8.41,8.46,0.62,7.55,10.03,10.44,4.9,8.87
September,6.09,7.56,10.09,10.7,4.24,,,10.52,1.24,6.94
October,3.29,9.16,4.28,11.85,4.38,4.42,10.96,8.76,11.15,11.86
November,12.32,,7.52,14.49,5.23,3.32,3.56,6.62,11.43,13.15
December,7.93,8.66,2.88,9.17,11.76,8,6.42,8.41,15.3,13.56
Total,,,68.2,101.95,64.65,,,83.12,77.67,94.61
,,,,,,,,,,
1952 Jan Estimated,,,,,,,,,,
1952 Nov Estimated,,,,,,,,,,
1955 Jan Feb Adjusted for snow,,,,,,,,,,
1956 Sept Estimated,,,,,,,,,,
1956 Dec Adjusted for snow,,,,,,,,,,
1957 Sept Estimated,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Kinsford Gate SRC_ID 8198,,,,,,,,,,
Station still in use 2021,,,,,,,,,,
