"CASTLEWELLAN LOUGH ISLAND",,,,,,,,,,,,
Grid ref,IJ3059134239,Long,-5.997411,Lat,54.240491,,,,,,,
Station no,RR1466,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.31,6.93,3.26,7.41,5.55,2.99,4.90,1.12,3.25,2.25,,
February,5.45,3.39,5.61,5.01,5.62,2.19,2.10,2.91,1.80,1.59,,
March,0.92,3.35,2.24,7.61,3.68,6.80,1.64,2.86,7.46,6.35,,
April,2.64,4.28,5.11,1.83,2.10,3.93,2.09,4.76,4.81,5.53,,
May,4.90,2.24,7.06,2.82,2.47,0.59,5.42,5.59,2.65,1.25,,
June,3.46,3.64,4.12,1.19,4.38,3.23,1.05,5.30,2.27,2.72,,
July,4.36,1.74,5.19,5.68,3.00,1.37,2.84,2.75,2.93,3.32,,
August,5.14,3.28,4.50,5.87,5.88,9.12,3.04,2.73,4.03,1.68,,
September,1.21,6.95,4.77,5.29,4.34,1.77,0.73,1.12,4.86,2.21,,
October,5.74,4.65,2.66,8.53,0.48,1.73,6.91,6.94,3.40,6.10,,
November,7.15,4.65,9.77,2.16,1.17,5.99,2.79,4.24,3.74,1.19,,
December,4.91,4.59,4.93,6.72,2.30,4.56,2.31,4.09,4.94,6.09,,
Total,49.19,49.69,59.22,60.12,40.97,44.27,35.82,44.41,46.14,40.28,,
Calc annual,49.19,49.69,59.22,60.12,40.97,44.27,35.82,44.41,46.14,40.28,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
