MARKET-DRAYTON-CHESHIRE-SANATORIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ734354,Long,-2.3970235,Lat,52.915358,Elevation,581,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2325/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.92,3.26,3.23,5.45,2.95,2.27,2.61,4.88,3.33,2.62,2.68,1.74,5.52,1.89,0.85,2.33,2.61,1.04,1.74,2.61,3.07,1.86,,,
February,,,,,,2.06,4.49,0.58,1.61,2.63,2.71,1.17,1.11,1.42,2.27,4.9,1.34,1.4,0.81,4.93,2.36,0.82,1.89,2.55,1.66,0.43,2.43,,,
March,,,,,,2.22,2.02,0.65,1.63,2.37,2.87,2.13,1.38,0.64,1.14,1.06,5.31,0.95,2.21,1.29,3.92,1.62,1.04,2.36,2.73,1.43,2.27,,,
April,,,,,,2.09,2.71,0.08,1.67,2.76,1.42,1.09,0.96,1.5,1.3,1.21,2.49,1.53,2.64,2.89,1.91,2.42,2.85,0.59,1.55,1.37,0.23,,,
May,,,,,,1,2.48,2.56,1.27,1.38,2.92,3.83,2.8,1.18,3.51,2.13,2.75,2.62,2.89,1.27,3.32,1.56,2.76,3.01,3.69,0.67,1.36,,,
June,,,,,,3.64,0.71,1.86,1.81,1.07,0.85,0.96,2.66,2.05,2.38,2.97,1.5,4.71,0.74,1.19,1.67,2.23,2.53,3.46,2.83,3.19,2.11,,,
July,,,,,,4.46,3.08,2.56,7.12,3.31,3,3.49,2.35,2.5,1.1,2.71,4.02,2.46,1.29,2.67,1.98,1.31,4.1,3.72,0.6,3.32,7.35,,,
August,,,,,,1.41,1.04,3.16,1.59,0.55,4.06,2.16,2.67,3.1,3.45,4.84,0.66,3.97,2.35,6.61,3.68,2.17,2.61,4.47,1.45,4.85,6.08,,,
September,,,,,,4.01,1.68,1,0.9,2,0.68,2.09,4.54,4.24,1.64,4.73,1.64,2.22,1.15,4.55,2.41,2.13,2.46,3.03,3.11,2.55,5.92,,,
October,,,,,,1.86,2.35,3.17,3.89,4.35,3.35,2.43,2.66,4.51,6.01,0.68,0.54,2,3.71,1.14,0.96,4.06,2.26,5.47,1.6,2.51,2.25,,,
November,,,,,,2.98,1.4,3.42,4.26,6.94,3.08,0.67,2.83,4.7,0.49,5.2,2.38,1.93,2.34,3.26,5.68,1.92,1.93,5.18,1.71,1.56,1.79,,,
December,,,,,,2.26,3.81,2.77,1.66,2.29,1.66,2.58,1.56,1.89,3.37,3.31,2.64,3.6,2.35,2.79,3.09,2.93,1.45,2.85,2.54,2.57,1.25,,,
Total,,,,,,31.91,29.03,25.04,32.86,32.6,28.87,25.21,30.4,31.06,29.28,36.42,27.01,32.91,24.37,33.44,33.31,25.78,26.92,38.43,26.08,27.52,34.9,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is the Cheshire Joint Sanatorium near Loggerheads. Altitudes match. 1950s record has an NGR as SJ675342, which is in Market Drayton, 6km away!!!!!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
