TAUNTON-HOLY-TRINITY-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST235244,Long,-3.09121,Lat,51.01388,Elevation,65,ft,,,,,,,,,,,,,
Station no,2070,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.67,3.51,3.7,2.98,3.72,2.9,0.96,5.04,2.07,2.86,2.07,2.44,0.86,3.91,,,,
February,,,,7.38,0.5,3.81,2.1,4.05,2.57,0.89,0.85,1.85,0.08,4.49,0.24,2.87,2.31,,,,
March,,,,1.22,0.86,0.52,0.54,3.27,2.47,0.29,2.31,1.12,1.99,2.43,2.38,1.25,2.59,,,,
April,,,,2.97,2.55,1.9,1.86,1.54,1.71,1.04,2.97,2.23,2.38,0.89,2.86,3.88,1.87,,,,
May,,,,2.03,4.29,2.87,1.61,1.14,1.2,2.2,2.07,2.91,3.81,1.78,1.08,1.32,1.68,,,,
June,,,,0.58,3.25,0.05,2.63,1.89,2.36,1.84,0.62,2.99,0.96,3.1,1.61,2.53,3.72,,,,
July,,,3.07,0.98,2.8,3.19,3.25,2.68,2.06,1.86,1.4,2.84,2.72,2.21,0.39,0.75,4.48,,,,
August,,,3.25,2.23,2.66,2.79,1.11,3,1.5,2.31,2.54,3.59,1.29,1.46,2.41,1.49,0.16,,,,
September,,,1.73,2.55,5.4,2.98,1.31,5.17,1.61,0.47,4.47,1.27,4.08,1.46,1.63,3.44,2.1,,,,
October,,,1.69,5.04,5.03,2.42,3.94,1.94,4.89,5.24,3.2,0.48,5.73,2.81,2.08,4.26,1.41,,,,
November,,,1.35,2.25,2.85,2.37,7.39,3.13,3.08,8.51,5.42,4.4,2.1,0.59,1.55,6.09,3.12,,,,
December,,,5.81,3.1,4.01,3.34,0.43,2.96,2.52,7.83,4.23,1.62,1.89,1.05,7.78,4.14,3,,,,
Total,,,,32,37.71,29.94,29.15,34.49,28.87,33.44,35.12,27.37,29.89,24.34,26.45,32.88,30.35,,,,
,,,,,,,,,,,,,,,,,,,,,
Holy Trinity School Trinity St,,,,,,,,,,,,,,,,,,,,,
1930 Apr 12 Gauge moved 4yds W,,,,,,,,,,,,,,,,,,,,,
