"CARLOPS, WEST LINTON",,,,,,,,,,
Grid ref,NT160555,Long,-3.3410129,Lat,55.785485,Elevation,955,ft,,
Station no,RR4626,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,4.6,3.1,4.29,,,
February,,,,,3.5,3.05,3.42,,,
March,,,,,5.5,1.6,4.1,,,
April,,,,,1.5,1.8,4.69,,,
May,,,,,0.6,3.5,2.53,,,
June,,,,,5.6,5.5,5.14,,,
July,,,,,4,4.1,6.68,,,
August,,,,,3.1,6.8,5.28,,,
September,,,,,3.7,5.7,4.88,,,
October,,,,,2.3,8.3,4.98,,,
November,,,,,7,3.5,3.3,,,
December,,,,,1.1,6.64,2.1,,,
Total,,,,,42.5,53.59,51.39,,,
,,,,,,,,,,
No locational information on record but it's still a small village and NGR given for the Manse,,,,,,,,,,
