CASTOR,,,,,,,,,,,,,,,,,,,,
Grid ref,TL128982,Long,-0.33709734,Lat,52.569938,Elevation,100,ft,,,,,,,,,,,,
Station no,1138/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,2.49,2.56,2.24,4.1,1.88,2.7,,,,,,,,,
February,,,,,,2.53,2.72,0.8,0.44,2.6,1.97,,,,,,,,,
March,,,,,,0.92,3.4,0.17,1.41,1.98,3.5,,,,,,,,,
April,,,,,,2.1,2.66,0.05,2.27,1.27,0.95,,,,,,,,,
May,,,,,,0.43,3.81,1.92,0.91,1.16,2.53,,,,,,,,,
June,,,,,,3.25,1.4,1.07,1.84,0.83,0.94,,,,,,,,,
July,,,,,,4.38,1.95,1.95,2.17,2.35,3.46,,,,,,,,,
August,,,,,,0.72,0.98,2.02,3.66,0.13,2.05,,,,,,,,,
September,,,,,,1.46,1.2,2.01,2.36,0.37,0.5,,,,,,,,,
October,,,,,,0.97,2.2,1.72,4.02,2.07,1.95,,,,,,,,,
November,,,,,3.25,1.7,1.87,1.64,3,5.35,2.9,,,,,,,,,
December,,,,,2.34,1.68,2.9,3.02,2.1,1.35,0.67,,,,,,,,,
Total,,,,,,22.63,27.65,18.61,28.28,21.34,24.12,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1935 Sep Oct estimated,,,,,,,,,,,,,,,,,,,,
