DORCHESTER-UPWEY-(UPWEY-HOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,SY663849,Long,-2.47741,Lat,50.66279,Elevation,125,ft,,,,,,,,,,,,
Station no,RR6713,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,4.56,2.79,5.25,5.47,4.6,3.31,3.94,1.65,3.8,6.48,4.46,,,,,,
February,,,,1.08,2.05,4.24,4.02,2.38,1.56,2.51,2.31,1.7,2.51,3.81,,,,,,
March,,,5.34,1.99,2.95,1.54,2.01,4.63,1.62,2.64,1.75,1.71,3.14,3.84,,,,,,
April,,,2.24,1.18,1.71,0.79,2.14,2.33,2.51,1.24,0.57,5.06,2.52,0.67,,,,,,
May,,,3.58,2.31,1.15,4.06,1.5,2.55,1.71,4.94,1.18,0.9,2.22,1.2,,,,,,
June,,,1.52,3.23,1.86,2,1.68,1.02,0.57,1.26,0.46,3.09,3.94,1.75,,,,,,
July,,,1.06,0.69,0.4,1.7,1.03,4.5,0.43,0.42,0.82,3.79,3.84,1.79,,,,,,
August,,,1.98,3.8,0.84,3.6,3.18,1.62,4.71,0.59,1.45,1.61,1.25,2.28,,,,,,
September,,,2.04,3.23,2.55,0.01,7.93,2.35,4.65,4.13,1.07,4.2,1.38,1.63,,,,,,
October,,,5.36,4.99,1.75,7.82,1.91,3.17,2.44,1.95,3.49,2.99,6.14,3.22,,,,,,
November,,,0.9,2.26,2.72,4.57,2.22,1.12,2.28,1.31,2.27,1.31,5.15,4.2,,,,,,
December,,,2.68,2.61,3.21,3.19,2.23,0.94,6.55,3.01,3.53,2.11,5.11,0.57,,,,,,
Total,,,,31.93,23.98,38.77,35.32,31.21,32.34,27.94,20.55,32.27,43.68,29.42,,,,,,
,,,,,,,,,,,,,,,,,,,,
Some maps have this as Upway House,,,,,,,,,,,,,,,,,,,,
Given elevation of 70ft not possible in Upwey,,,,,,,,,,,,,,,,,,,,
