DORCHESTER-UPWEY,,,,,,,,,,,,,,,,,,,,
Grid ref,SY667848,Long,-2.47249,Lat,50.66223,Elevation,110,ft,,,,,,,,,,,,
Station no,RR6713,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,4.08,1.81,2.1,7.17,4.26,,,,,,
February,,,,,,,,,,2.68,2.58,2,2.88,2.38,,,,,,
March,,,,,,,,,,2.87,1.64,1.94,3.21,4.46,,,,,,
April,,,,,,,,,,1.32,0.55,5.44,2.95,0.66,,,,,,
May,,,,,,,,,1.8,5.05,1.29,0.93,2.06,1.2,,,,,,
June,,,,,,,,,0.75,1.2,0.51,3.63,4.1,,,,,,,
July,,,,,,,,,0.45,0.51,0.85,3.42,4.02,,,,,,,
August,,,,,,,,,5.46,0.65,1.75,1.55,1.25,,,,,,,
September,,,,,,,,,4.98,4.44,1.28,6.14,2.31,,,,,,,
October,,,,,,,,,2.85,2.22,4.03,2.9,7,,,,,,,
November,,,,,,,,,2.85,2.39,1.8,1.75,5.6,,,,,,,
December,,,,,,,,,7.52,4.2,4.13,2.61,5.79,,,,,,,
Total,,,,,,,,,,31.61,22.22,34.41,48.34,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Observer was curate living near Elwell Cottage at W end of Elwell St,,,,,,,,,,,,,,,,,,,,
Elevation above 90ft given on sheet but was question marked,,,,,,,,,,,,,,,,,,,,
1873 June Gauge moved to Bishops Cannings,,,,,,,,,,,,,,,,,,,,
