"BOLTON ABBEY ESTATE OFFICE",,,,,,,,,,,,
Grid ref,SE072540,Long,-1.891699,Lat,53.982008,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.12,2.09,2.17,3.27,3.45,2.04,5.65,1.86,2.89,2.01,,
February,4.18,0.98,1.37,4.14,4.07,2.99,2.53,2.78,3.28,2.28,,
March,0.75,2.67,1.95,5.15,2.54,3.87,3.15,3.85,4.47,3.27,,
April,1.77,2.61,1.55,1.90,2.77,3.04,1.39,2.90,2.90,3.53,,
May,1.36,1.10,2.67,3.12,4.46,0.55,3.32,3.90,2.82,2.46,,
June,3.97,1.20,1.27,2.01,2.38,2.50,1.81,5.88,1.03,2.43,,
July,3.69,1.39,2.80,4.46,2.75,1.49,3.07,2.29,4.08,5.02,,
August,6.38,1.22,2.19,4.54,3.77,4.45,3.40,3.56,2.89,3.35,,
September,1.08,1.09,1.23,4.70,0.95,3.25,0.83,0.70,4.04,3.46,,
October,4.61,1.91,3.43,9.57,1.01,2.91,6.84,6.40,1.91,2.94,,
November,3.87,5.01,2.55,2.62,4.57,5.53,5.50,2.51,2.57,1.52,,
December,3.46,5.45,3.28,2.03,2.44,1.01,3.42,4.82,2.55,5.06,,
Total,39.24,26.72,26.46,47.51,35.16,33.63,40.91,41.45,35.43,37.33,,
Calc annual,39.24,26.72,26.46,47.51,35.16,33.63,40.91,41.45,35.43,37.33,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
