BOLTON ABBEY ESTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE072540,Long,-1.891699,Lat,53.982008,Elevation,368,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,,,,,7.08,2.13,,,,,,,,,,3.93,1.88,2.5,2.71,5.92,4.12,2.09,2.17,3.27,3.45,2.04,5.65,1.86,2.89,2.01,5.06,1.18,5.38,4.48,2.54,5.66,3.53,3.25,3.68,4.7,4.91,6.43,4.51,3.25,2.56,3.96,4,3.66,7.28,2.1,5.95,3.17,3.56,2.19,2.9,1.68,4.27,3.82,4.79,5.1,2.15,2.32,4.34,5.07,4.94,3.87,3.61,3.76,8.19,1.98,2.31,3.59,3.75,0.86,2.82,1.94,4.26,3.17,2.56,3.22,5.08,,,,,,,,,,,,,,,,,,,
February,,,,,4.45,2.55,,,,,,,,,,0.42,1.57,2.85,3.78,1.9,4.18,0.98,1.37,4.14,4.07,2.99,2.53,2.78,3.28,2.28,4.1,4.38,2.15,1.29,2.52,5.08,5.24,0.86,5.31,2.19,3.26,0.34,4.42,5.94,1.03,5.54,3.51,1.45,4.62,0.82,0.97,3.97,0.42,4.98,0.25,4.93,2.81,6.18,1.78,3.05,1.87,3.67,1.21,2.53,1.91,4.78,4.74,2.79,2.57,2.76,6.48,3.76,1.13,3.03,2.39,2.14,1.67,3.33,6.83,0.43,2.35,,,,,,,,,,,,,,,,,,,
March,,,,,2.57,2.08,,,,,,,,,,3.57,4.8,5.61,2.01,1.57,0.75,2.67,1.95,5.15,2.54,3.87,3.15,3.85,4.47,3.27,0.55,2.3,4.64,5.07,3.97,1.45,4.64,3.71,1.64,5.29,3.04,2.45,2.99,2.11,1.21,1.13,1.88,3.48,3.52,0.41,2.21,0.51,2.79,2.22,2.92,1.2,1.79,3.38,1.06,2.2,2,3.68,3.15,1.01,0.33,1.65,1.18,5.52,1.9,1.37,1.52,3.64,2.09,1.26,2.11,2.59,1.42,2.67,1.47,1.22,2.03,,,,,,,,,,,,,,,,,,,
April,,,,,2.27,2.45,,,,,,,,,,2.05,2.13,2.2,2.65,2.76,1.77,2.61,1.55,1.9,2.77,3.04,1.39,2.9,2.9,3.53,3.06,1.72,0.84,3.15,1.07,1.87,2.35,2.17,0.79,2,4.43,1.44,2.89,2.67,1.8,3.25,1.63,3.6,0.97,1.43,3.55,3.53,3.82,1.79,2.87,3.14,1.32,2.77,0.55,1.33,2.15,2.95,1.37,2.16,3.67,3.02,1.17,4.18,2.21,3.04,3.27,1.51,2.03,2.69,0.57,1.32,2.55,0.37,0.87,3.68,2.07,,,,,,,,,,,,,,,,,,,
May,,,,,1.98,2.92,,,,,,,,,,0.38,0.65,1.23,2.63,3.19,1.36,1.1,2.67,3.12,4.46,0.55,3.32,3.9,2.82,2.46,2.21,1.14,2.4,2.87,1.99,1.83,2.08,1.77,2.77,1.85,3.39,1.61,1.3,3.81,5.03,5.85,3.35,1.6,1.65,1.96,1.66,2.78,3.52,2.66,2.24,1.48,1.4,2.53,3.61,0.91,1.04,1.82,2.62,3,2.1,4.3,2.31,4.96,0.87,1.72,1.97,3.94,1.81,1.51,3.59,3.37,1.55,0.94,4.73,0.85,1.55,,,,,,,,,,,,,,,,,,,
June,,,,,0.34,2.96,,,,,,,,,,2.11,4.91,3.61,2.57,1.7,3.97,1.2,1.27,2.01,2.38,2.5,1.81,5.88,1.03,2.43,2.87,2.75,6.99,1.81,2.62,0.45,3.08,1.57,1.32,1.1,2.26,0.19,1.96,0.87,1.94,0.05,2.86,3.28,5.06,1.13,2.11,6.66,1.47,3.08,1.9,2.92,3.8,2.49,3.28,2.06,0.4,0.23,1.15,2.62,2.59,3.5,2.3,3.55,3.33,0.67,2.33,1.12,2.72,2.84,2.47,2.31,2.53,1.79,4.92,1.64,1.27,,,,,,,,,,,,,,,,,,,
July,,,,,6.07,1.33,,,,,,,,,,5.59,3.72,1.74,1.07,1.56,3.69,1.39,2.8,4.46,2.75,1.49,3.07,2.29,4.08,5.02,3.41,0.98,5.77,0.62,2.81,4.18,2.65,1.63,4.45,2.49,5.64,2.39,5.08,3.63,4.12,1.37,2.55,3.81,1.46,3.39,4.64,4.03,4.37,2.11,1.85,1.35,4.7,1.89,3.62,5.63,4.54,2.16,3.46,2.4,3.12,1.99,3.21,2.17,0.93,2.47,3.51,2.08,1.81,4.58,2.98,0.96,4.59,3.47,3.56,2.57,7.7,,,,,,,,,,,,,,,,,,,
August,,,,,1.06,1.21,,,,,,,,,,2.9,1.61,5.27,3.65,1.75,6.38,1.22,2.19,4.54,3.77,4.45,3.4,3.56,2.89,3.35,5.29,2.81,6.47,2.25,2.28,3.5,3.28,8.49,3.4,3,2.87,4.55,4.73,4.68,4.53,4.64,4.37,7.01,5.09,3.32,4.02,3.48,1.07,0.95,2.29,1.72,4.21,1.59,3.56,1.73,1.44,5.04,3.32,4.4,2.59,3.41,6.99,0.34,3.95,2.54,5.62,3.99,5.17,3.68,7.45,0.96,7.7,5.29,4.22,0.61,3.98,,,,,,,,,,,,,,,,,,,
September,,,,,3.28,3.82,,,,,,,,,,1.73,6.09,3.81,0.96,5.66,1.08,1.09,1.23,4.7,0.95,3.25,0.83,0.7,4.04,3.46,0.29,3.92,1.97,1.5,1.67,0.66,2.58,2.05,8.91,1.48,1.39,1.82,4.28,3.65,3.81,3.03,3.29,4.28,0.74,1.38,3.53,3.64,4.03,1.99,2.83,6.43,3.45,1.73,1.41,1.21,2.89,0.73,2.22,4.38,6.73,2.38,6.07,2.2,2.71,0.87,5.69,3,3.99,2.98,4.19,2.47,4.26,4.91,4.67,0.2,3.39,,,,,,,,,,,,,,,,,,,
October,,,,,2.58,5.89,,,,,,,,,,4.96,4.03,1.66,5.56,2.84,4.61,1.91,3.43,9.57,1.01,2.91,6.84,6.4,1.91,2.94,4.17,3.01,4.07,1.78,2.75,1.21,8.28,4.97,2.86,3.53,2.54,2.27,0.77,5.46,4.15,4.24,4.66,4.11,4.58,4.61,4.54,1.69,6.09,3.74,4.02,7.34,3.5,2.18,7.19,3.18,2.78,5.69,3.99,2.54,3.87,5.85,1.42,1.44,1.95,4.6,2.9,1.28,4.16,1.93,6.13,3,2.05,4.62,2.91,2.92,5.42,,,,,,,,,,,,,,,,,,,
