"BOLTON ABBEY (ESTATE OFFICE)",,,,,,,,,,,,
Grid ref,SE072540,Long,-1.891699,Lat,53.982008,,,,,,,
Station no,3333,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.59,3.75,0.86,2.82,1.94,4.26,3.17,2.56,3.22,5.08,,
February,3.76,1.13,3.03,2.39,2.14,1.67,3.33,6.83,0.43,2.35,,
March,3.64,2.09,1.26,2.11,2.59,1.42,2.67,1.47,1.22,2.03,,
April,1.51,2.03,2.69,0.57,1.32,2.55,0.37,0.87,3.68,2.07,,
May,3.94,1.81,1.51,3.59,3.37,1.55,0.94,4.73,0.85,1.55,,
June,1.12,2.72,2.84,2.47,2.31,2.53,1.79,4.92,1.64,1.27,,
July,2.08,1.81,4.58,2.98,0.96,4.59,3.47,3.56,2.57,7.70,,
August,3.99,5.17,3.68,7.45,0.96,7.70,5.29,4.22,0.61,3.98,,
September,3.00,3.99,2.98,4.19,2.47,4.26,4.91,4.67,0.20,3.39,,
October,1.28,4.16,1.93,6.13,3.00,2.05,4.62,2.91,2.92,5.42,,
November,8.00,2.05,3.94,5.22,2.00,1.08,2.54,1.06,4.68,5.94,,
December,6.44,3.38,1.40,5.28,5.28,4.39,4.34,4.80,7.41,5.06,,
Total,42.35,34.09,30.70,45.20,28.34,38.05,37.44,42.60,29.43,45.84,,
Calc annual,42.35,34.09,30.70,45.20,28.34,38.05,37.44,42.60,29.43,45.84,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
