UPHALL BEECRAIGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT013743,Long,-3.582175,Lat,55.951557,Elevation,477,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,5.85,3.02,2.98,3.57,4.13,4.16,3.38,7.01,1.36,2.64,1.22,3.63,2.92,3.57,1.1,4.65,3.59,5.54,4.42,2.12,2.36,5.45,4.22,3.98,3.1,3.85,3.8,,3.62,2.27
February,,0.74,2.8,3.84,0.87,3.5,4.28,1.86,4.42,1.23,0.41,1.52,0.08,1.79,0.16,3.12,3.31,3.98,1.08,3.38,0.93,4.43,2.12,2.94,1.13,4.96,3.05,1.75,,3.44,3.84
March,,4.65,1.82,1.07,1.28,3.34,2.7,2.45,3.05,0.38,2.91,2.2,2.6,1.72,3.66,1.35,2.59,3.11,2.22,2.94,4.24,3.98,1.71,2.22,0.89,2.4,3.64,4.18,,1.53,3.25
April,,1.13,2.38,3.2,1.88,4.4,2.18,1.52,1.07,1.75,0.99,2.11,3.21,1.65,3.76,3.32,1.28,1.6,0.41,1.37,2.7,1.43,3.18,1.71,2.73,1.49,1,5.21,,2.55,3.21
May,,2.31,2.19,1.47,5.73,5.41,3.28,1.99,1.63,1.88,1.09,3.27,3.01,1.86,1.81,0.44,0.83,2.21,5.17,0.87,1.81,5.67,2.21,4.22,2.9,4.88,2.71,3.79,,2.29,2.17
June,,0.36,2.16,1.53,2.44,0.44,3.27,2.5,5.72,2.3,1.79,5.11,1.53,2.16,2.85,2.67,2.31,2,3.74,1.75,0.63,0.63,1.28,3.9,3.13,3.04,2.73,3.89,,0.93,2.23
July,,3.06,3.88,3.07,3.96,1.79,3.12,3.83,2.9,2.72,3.16,4.33,2.9,4.1,4.18,1.69,4.68,3.88,3.52,6.07,6.17,2.82,2.54,3.17,2.94,4.08,3.91,3.86,3.49,2.74,5.55
August,,6.43,1.64,5.46,3.46,3.13,1.55,6.85,4.16,4.6,5.68,4.32,0.77,1.52,4.28,1.98,1.88,4.96,1.82,1.3,1.32,3.66,2.69,5.48,4.53,2.95,4.57,0.04,9.53,4.79,4.2
September,,1.94,2.25,4.13,3.85,4.56,3.72,6.59,2.82,1.1,2.94,1.41,3.13,1.57,3.16,4.74,4.12,2.93,3.48,2.54,2.82,1.06,3.32,3.15,4.62,5.35,5.65,2.93,4.58,1.86,7.38
October,,4.51,1.85,3.53,3.74,2.99,4.9,4.75,4,3.83,3.42,1.79,4.95,2.85,4.62,6.98,2.66,4.4,6.94,3.2,3.77,3.46,3.63,6.1,4.12,5.19,0.88,1.73,3.45,6,2.96
November,,1.81,1.85,3.65,2.18,0.55,5.33,2.43,3.73,4.93,3.66,5.46,1.72,1.46,1.16,4.45,2.84,0.81,6.09,5.82,4.38,2.05,0.6,1.47,7.91,0.74,5.71,4.89,3.85,3.39,4.2
December,,5.04,2.51,3.27,5.34,3.66,0.89,1.26,3.47,5.17,1.84,1.32,6.03,0.72,3.81,1.9,3.42,2.31,3.17,1.34,3.15,1.74,3.05,1.93,3.61,3.38,3.24,,4.35,6.86,2.36
Total,,37.83,28.35,37.2,38.3,37.9,39.38,39.41,43.98,31.25,30.53,34.06,33.56,24.32,37.02,33.74,34.57,35.78,43.18,35,34.04,33.29,31.78,40.51,42.49,41.56,40.94,,,40,43.62
