"LIPHALL (BEECRAIGS)",,,,,,,,,,,,
Grid ref,NT013743,Long,-3.582175,Lat,55.951557,,,,,,,
Station no,5157,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.88,3.10,1.01,4.20,2.49,2.24,6.25,2.52,1.20,3.56,,
February,2.19,0.95,1.37,2.73,2.26,1.99,3.37,2.31,1.35,2.99,,
March,4.26,2.07,0.93,2.45,2.18,2.15,3.11,2.52,1.29,1.92,,
April,2.78,1.70,2.92,1.69,0.97,0.67,2.20,2.77,2.40,1.67,,
May,2.85,1.51,2.76,5.11,3.38,1.90,2.84,3.34,1.27,2.06,,
June,2.30,3.10,1.53,2.87,1.47,3.80,2.25,5.14,2.15,1.19,,
July,4.94,2.76,6.60,2.99,1.19,5.26,4.60,7.23,3.69,3.07,,
August,6.04,3.27,2.88,4.82,1.30,6.38,3.74,5.67,0.80,4.46,,
September,2.50,2.19,3.48,4.05,2.80,5.24,2.35,3.98,0.86,1.83,,
October,0.87,2.39,1.97,8.30,2.41,2.60,3.51,2.16,2.97,4.01,,
November,5.64,2.54,5.73,4.55,1.54,0.90,2.53,1.68,7.06,2.67,,
December,4.56,2.51,4.12,4.97,5.35,4.73,4.48,5.94,4.80,3.73,,
Total,42.81,28.09,35.30,48.73,27.34,37.86,41.23,45.26,29.84,33.16,,
Calc annual,42.81,28.09,35.30,48.73,27.34,37.86,41.23,45.26,29.84,33.16,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
