MALIN HEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IC3970059500,Long,-7.374391,Lat,55.380856,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,1.86,3.58,2.07,3.23,2.2,3.94,1.61,1.71,1.78,2.82,0.88,2.69,1.07,2.23,3.95,2.87,2.25,3.01,4.64,3.98,2.25,4.74,2.33,1.96,3.18,3.55,0.78,1.45,2.1,2.45,3.07,2.65,2.67,1.93,3.58,3.23,4.01,3.33,3.92,3.18,3.11,4.98,5.1,7.47,1.37,4.36,3.96,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,3.14,2.1,3.96,0.94,2.4,0.7,0.3,1.41,2.63,4.2,0.38,2.19,2.38,3.98,1.07,2.22,2.02,1.27,3.26,2,2.97,3.1,2.84,2.92,2.7,3.92,2.69,1.85,1.43,5.91,2.44,4.25,1.88,3.07,0.7,1.97,1.01,4.75,4.17,1.6,3.87,2.72,1.6,4.61,1.72,1.21,4.18,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.36,2.22,2.37,1.86,2.21,2.16,1.75,0.42,1.33,1.87,2.49,4.69,3.36,1.6,2.08,0.53,2.01,3.4,4.25,1.26,2.49,2.81,3.87,3.14,2.48,2.05,0.91,2.39,2.41,3.7,1.57,1.55,1.53,0.75,2.79,2.34,2.99,1.82,1.36,0.51,2.82,1.69,2.06,2.32,0.32,2.23,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.94,1.69,1.46,1.52,3.02,1.53,0.69,1.31,1.16,1.38,1.75,2.33,1.65,2.36,4.04,1.07,2.29,1.33,2.17,2.66,1.88,2.35,1.99,2.23,1.78,1.82,2.17,1.66,3.26,2.16,2.32,3.26,1.97,1.26,1.85,1.64,1.37,2.48,2.58,3.67,3.87,1.14,2.94,1.32,1.21,1.86,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.41,1.7,1.79,2.57,3.22,1.15,2.05,5.4,1.22,1.86,1.24,1.15,2.51,3.37,2.07,0.81,1.23,2.82,2.32,1.82,1.22,2.98,2.85,1.75,1.95,1.55,0.84,0.71,1.99,1.77,1.38,5.1,2.17,2.16,1.01,3.38,1.76,1.94,1.59,3.72,2.74,2.5,1.74,1.2,1.92,1.05,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.65,2.19,1.28,3.17,0.36,3.34,1.08,3.61,1.4,1.62,1.63,3.75,5.31,1.87,1.8,0.73,3.79,1.12,0.62,0.89,2.29,0.82,4.8,2.52,1.55,2.45,0.81,4.44,2.03,0.93,2.01,0.92,2.84,1.22,2.73,1.36,0.6,2.23,1.4,2.36,0.84,2.59,3.78,4.47,3.44,2.87,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,1.73,3.4,3.64,4.14,2.94,3.07,1.75,2.7,5.23,3.25,3.47,4.33,2.52,0.93,1.2,0.55,0.73,4.22,4.15,2.57,2.94,1.67,2.31,3.16,4.31,2.74,1.76,4.08,0.78,2.15,4.55,2,1.46,2.13,0.94,2.5,2.02,3.09,3.79,3.24,3.77,3.17,3.89,2.47,2.96,3.04,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,1.6,1.87,3.41,4.1,6.36,3.09,4.32,3.78,4.19,2.29,4.34,3.36,3.07,3.07,0.76,0.81,4.52,2.04,5.33,5.68,3.81,3.94,5.06,4.8,2.92,5.45,1.46,3.27,1.53,3.5,3.62,3.19,5.36,4.49,3.13,4.18,2.92,2.5,6.27,5.04,3.01,3.09,3.05,4.75,5.38,5.37,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,4.67,4.22,3.28,1.62,2.68,5.65,3.16,3.9,4.18,0.24,1.01,5.42,3.15,2.8,5.04,0.34,2.46,4.26,1.77,1.64,2.23,1.12,0.97,5.31,1.74,0.68,1.43,1.44,2.93,2.36,1.49,1.39,2.2,4.57,2.1,2.71,1.83,1.89,4.6,5.13,2.93,4.52,4.39,3.97,1.78,2.7,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,3.22,3.15,2.32,1.9,3.59,2.69,3.06,3.08,4.31,1.72,6.1,4.62,2.18,2.83,2.22,1.15,3.88,1.92,7.81,2.48,3.43,3.38,3.3,0.9,4.07,1.7,2.2,3.09,2,1.84,1.57,5.3,7.29,3.82,1.44,2.13,3.07,1.33,4.51,2.89,2.56,6.24,4.43,6.26,5.18,5.43,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
