PETERSFIELD-WEST-HARTING,,,,,,,,,,
Grid ref,SU782203,Long,-0.88750394,Lat,50.976812,Elevation,400,ft,,
Station no,RR7810,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,3.64,1.59,4.09,6.68,0.46,5.26,1.8,,,
February,5.34,1.92,3.61,1.39,6.29,7.83,4.93,,,
March,1.43,2.9,5.96,3.94,6.38,0.95,3.61,,,
April,2.51,1.64,0.12,3.6,1.79,1.77,1.38,,,
May,2.02,3.26,1.33,2.84,1.52,4.27,2.07,,,
June,2.76,2.15,4.94,0.7,0.45,1.95,2.49,,,
July,3.07,0.78,2.68,2,4,5.45,,,,
August,4.35,0.65,7.54,1.63,2.65,2.1,,,,
September,0.27,1.95,4.09,2.56,2.02,2.41,,,,
October,3.92,5.95,4.41,5.07,2.68,4.86,,,,
November,4.59,5.29,2.12,3.95,4.78,3.8,,,,
December,6.3,10.99,5.21,2.06,11.29,10.21,,,,
Total,40.2,39.07,46.1,36.42,44.31,50.86,,,,
