DRAYTON VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG180139,Long,1.2247,Lat,52.6793,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,2.46,2.22,1.19,2.27,1.93,3.02,2.24,1.17,0.12,1.47,1.72,1.57,1.23,2.25,2.34,1.34,0.98,0.81,2.57,1.63,0.74,1.81,1.46,3.69,1.2,1.61,1,1.75,,,,,,1.51,5.23,1.56,1.15,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.02,2.04,1.07,1.44,3.04,3.23,1.27,3,1.81,3.72,1.57,2.48,0.47,1.87,0.35,0.44,2.01,1.41,0.91,0,1.96,2.21,1.24,0.48,0.5,1.88,0.88,1.16,,,,,,1.97,3.53,1.98,2.29,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.11,3.99,1.95,1.01,0.56,3.32,2.74,1.25,0.86,0.74,1.68,1.24,1.66,1.24,1.16,1.17,1.84,1.87,0.96,3.13,1.78,0.78,0.47,1.03,1.78,3.09,1.92,1.88,1.51,,,,,,2.15,2.57,1.81,2.84,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,3.62,2.37,1.25,1.16,0.78,3.04,2.68,1.29,2.38,1.75,1.11,3.35,1.68,1.97,1.02,1.29,1.18,1.5,1.62,0.86,1.1,1.78,0.12,1.82,1.42,1.29,1.44,1.09,2.43,,,,,,2.1,0.77,4.36,2.89,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1,2.32,2.07,1.87,1.55,1.21,2.1,3.32,2.33,0.76,0.75,1.84,1.31,0.85,3.19,2.43,2.03,0.93,3.31,,3.35,1.55,0.65,2.18,0.67,0.49,0.74,2.84,1.32,,,,,,1.28,3.59,2.98,1.71,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,3.77,2.88,1.85,2.26,1.72,1.88,1.95,1.57,3.6,3.45,1.82,2.8,2.51,0.67,0.93,0.45,0.46,1.46,1.04,2.98,0.95,3.32,1.63,2.88,0.51,1.75,2.22,2.65,1.09,,,,,,3.38,2.43,2.4,1.15,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,3.16,3.88,1.75,1.53,5.6,3.13,3.45,0.54,5.02,5.1,2.18,2.74,2.18,2.09,0.65,4.38,1.67,3.35,3.58,3.72,4.09,3.17,4.97,3.45,3.68,1.24,0.17,1.31,1.83,,,,,,1.27,1.51,1.53,4.08,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,0.59,4.38,1.89,1.6,0.87,1.9,3.74,5.39,4.95,3.1,3.53,1.59,0.7,1.29,0.7,2.2,3.01,1.8,3.55,1.86,3.48,2.3,1.85,1.8,3.55,1.62,3.52,1.89,0.79,,,,,,3.18,1.59,1.47,2.54,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,4.32,2.94,3.35,3.42,2.58,5.83,2.95,2.34,3.32,2.52,2.59,2.37,2.97,2.54,4.51,1.53,2.08,1.68,3.31,0.79,1.27,2,0.93,1.75,0.55,4.29,3.45,0.09,,,,,,,2.65,1.34,0.75,1.4,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,1.56,3.24,2.21,1.83,4.28,1.29,2.72,2.44,1.57,5.03,2.68,5.78,3.44,2.72,7,2.17,,1.73,3.12,1.49,3.85,7.83,1.86,2,3.04,3.8,0.6,2.34,,,,,,,4.69,3.38,3.56,1.22,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
