"COBHAM LODGE, COBHAM, SURREY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ110585,Long,-0.4074,Lat,51.3151,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,1.12,0.43,0.9,4.69,0.75,2.12,1.21,1.25,0.59,4.08,0.89,1.93,2.34,0.26,1.32,2.57,2.5,0.83,1.68,3.25,2.83,2.96,1.33,1.42,1.44,0.84,2.93,2.36,2.6,1.72,0.46,1.22,2.57,0.78,0.93,2.65,0.31,1.82,2.65,0.83,2.73,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,0.63,2.09,0.38,1.24,1.09,0.95,2.53,0.29,4.09,0.37,2.54,2,2.47,1.65,1.37,2.08,1.07,1.37,2.05,2.22,1.07,1.28,1.28,2.71,1.47,1.28,0.73,0.65,0.8,0.87,1.07,0.99,0.14,1.68,1.39,0.78,2.03,0.67,0.6,0.85,2,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.26,1.94,2.72,1.01,0.4,0.24,2.5,1.49,1.43,0.73,2.5,3.58,0.74,1.16,1.28,0.32,1.3,1.79,0.83,2.41,1.1,1.04,0.62,3.39,0.88,0.19,3.36,0.2,1.29,0.26,1.37,0.72,0.88,0.55,1.03,2.29,2.04,3.27,0.55,3.14,0.84,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.56,0.45,1.12,2.47,5.63,2.57,2.25,1.6,2.52,0.53,0.98,3.1,0.85,0.73,0.93,0.21,2.58,0.32,1.82,0.31,0.83,1.89,1.43,4.01,3.15,2.73,1.53,0.46,2.56,0.22,0.27,2.35,1.39,2.34,2.17,1.75,0.82,1.83,0.41,0.95,0.39,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.03,2.42,1.76,2.13,0.85,3.03,2.97,1.71,0.6,1.35,2.31,0.92,0.94,0.74,1.13,1.58,2.39,1.78,5.99,0.44,3.08,1.5,1.65,0.11,2.78,2.21,0.75,1.77,1.65,3.24,1.88,3.55,0.76,1.83,2.62,3.1,1.14,3.66,1.66,1.34,2.9,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.16,0.48,0.75,1.96,2.58,3.18,1.27,2.25,2.44,1.9,2.58,1.58,1.17,2.65,2.1,0.93,1.74,0.56,1.68,1.43,0.73,0.97,1.3,3.08,0.42,1.17,0.98,4.64,1.83,1.17,1.11,1.07,3.42,1.39,2.51,6.82,3.89,1.9,3.1,1.19,1.76,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,0.23,2.44,1.07,5.07,4.63,1.86,2.71,0.6,1.35,5.47,0.3,2.04,1.53,1.56,3.48,1.97,1.93,1.62,2.13,1.02,2.82,2.17,1.48,2.36,3.66,3.39,2.09,3.36,5.15,1.39,6.39,0.73,1.23,2.47,1.9,1.67,1.92,1.43,0.94,0.45,2.15,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.87,1.34,1.97,2.34,4.14,3.35,1.37,2.59,0.83,3.5,1.16,1.56,2.86,1.09,1.36,2.04,2.61,3,3.2,2.18,2.56,2.91,1.02,3.44,0.69,1.56,1.35,4.89,2.16,1.61,1.02,3.17,2.7,2,1.76,3.55,0.53,3.01,2.12,1.25,4.53,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,2.21,5.17,3.62,2.56,3.48,3.14,3.85,0.63,2.91,0.98,4.57,2.61,1,2.6,5.74,2.88,4.13,3.58,0.71,1.18,1.69,2.07,1.52,2.26,2.42,1.14,0.2,3.68,2.1,0.7,1.15,2.01,3.77,0.86,2.69,3,1.54,1.93,2.87,2.83,0.19,3.73,,,,,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,3.16,1.69,4.16,1.42,1.48,0.75,4.68,3.41,1.78,0.24,4.77,4.44,1.65,1.84,1.84,1.38,5.51,1.25,3.75,4.26,1.56,5.73,2.44,3.5,2.47,1.43,2.2,4.41,3.68,2.63,5.21,2.35,4.83,1.48,2.76,1.49,0.89,3.78,2.25,1.73,6.47,1.11,,,,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
