COBHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ110585,Long,-0.4074,Lat,51.3151,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,0.38,0.9,3.85,0.73,2.12,1.21,1.25,0.63,3.99,0.66,2.03,2.36,0.26,1.54,2.64,2.57,0.92,1.72,2.58,2.83,2.65,1.33,1.6,1.43,1.2,2.93,3.36,2.6,1.72,0.61,1.82,2.57,0.78,0.91,2.66,0.16,1.84,2.83,0.66,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,2.09,0.77,1.09,1.09,0.95,2.54,0.29,4.37,0.45,2.83,1.9,2.43,1.84,1.16,2.01,1,1.36,2.05,2.36,1.07,1.28,1.38,2.82,2.03,0.92,0.66,0.65,0.81,0.87,1,0.99,0.14,1.68,1.39,0.78,2.15,0.65,0.42,0.99,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,1.94,2.39,1.01,0.46,0.24,2.49,1.49,1.2,0.65,2.24,3.56,0.74,0.97,1.36,0.41,1.38,1.76,0.89,2.21,1.1,1.15,0.62,3.07,0.68,0.23,3.36,0.2,1.68,0.26,1.29,0.72,1.05,0.84,1.03,1.94,1.94,3.29,0.55,3.12,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,0.45,1.06,2.47,5.57,2.57,2.25,1.62,2.37,0.58,0.95,3.11,0.87,0.86,0.84,0.12,2.5,0.27,1.72,0.31,0.84,1.78,1.47,4.01,2.77,2.69,1.53,0.46,2.16,0.26,0.27,2.38,1.3,2.09,2.38,1.4,0.8,1.84,0.66,0.83,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,2.48,1.76,2.13,0.85,3.04,2.94,1.82,0.6,1.3,2.52,0.94,1.03,0.61,1.13,1.58,2.39,1.78,5.99,0.44,3.07,2.3,1.61,0.27,2.78,2.21,0.75,1.77,1.65,3.2,2.23,3.52,0.68,1.79,2.47,2.52,1.2,3.63,1.44,1.69,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,0.48,0.76,1.96,2.84,3.17,1.27,2.12,2.55,1.9,2.36,1.54,1.06,2.77,2.1,1.01,1.76,1.23,1.68,1.43,1.58,0.98,1.3,2.92,0.42,1.18,0.96,4.64,1.88,1.44,0.76,1.08,3.48,1.39,2.45,6.4,4.03,1.9,3.1,0.84,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,2.38,1.06,5.08,4.45,1.86,2.71,0.6,1.24,5.51,0.3,2.04,1.64,1.44,3.61,1.89,1.98,0.95,2.16,1.02,2.05,2.16,1.48,2.43,3.66,3.38,2.1,4.14,5.14,1.3,6.45,0.73,1.17,2.47,1.9,1.67,1.97,1.43,0.94,0.45,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.67,1.97,2.34,4.07,3.35,1.45,2.95,1.47,3.62,1.16,1.56,2.76,1.09,1.62,2.04,2.56,3.53,3.17,2.18,2.48,2.91,1.02,3.56,0.89,1.57,1.34,4.12,2.18,1.43,0.96,3.22,2.82,2,1.76,3.55,0.48,3.01,2.12,1.25,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,4.88,3.62,2.75,3.47,3.14,4.17,0.57,2.27,0.82,4.64,2.66,1.06,2.6,5.35,2.88,4.17,3.07,0.71,1.18,1.75,2.07,1.53,2.08,2.58,1.47,0.31,3.81,2.15,0.7,1.22,2.37,3.65,0.87,3.75,3,1.54,1.99,3.28,2.83,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,1.65,4.16,1.23,1.48,0.75,4.28,3.3,1.96,0.24,4.7,4.39,1.82,2.16,1.84,1.38,5.6,1.23,4.53,4.27,1.5,5.73,2.43,3.64,2.11,1.5,2.1,4.27,3.57,1.63,5.56,2.47,4.83,1.47,2.81,1.49,0.99,3.72,1.84,1.73,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
