LONDON TEMPLE BAR,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ311811,Long,-0.1121,Lat,51.5136,Elevation,75,ft,,,,,,,,,,,,
Station no,RR367,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809
January,,,,,,0.56,2.24,1.05,1.18,1.02,2.66,1.11,0.23,1.66,1.81,1.63,1.98,0.53,1.14,
February,,,,,,1.39,1.26,0.24,0.76,2.41,0.19,0.59,1.62,0.81,1.47,1.13,0.58,1.19,0.78,
March,,,,,,1.93,0.08,0.85,0.36,0.47,0.32,1.19,0.43,0.48,1.66,0.95,1.43,0.43,0.19,
April,,,,,,0.52,0.34,2.04,0.57,1.83,3.11,0.41,1.08,1.18,1.73,1.71,0.27,0.48,1.78,
May,,,,,,0.31,2.33,1.58,1.78,1.89,1.17,1.74,1.28,1.81,1.35,0.92,1.11,3.09,1.21,
June,,,,,,3.67,0.59,4.64,1.05,0.59,1.07,0.86,2.01,3.61,0.57,3.57,0.55,1.46,0.7,
July,,,,,,1.52,2.09,1.42,3.08,3.14,0,3.81,3.04,1.47,3.99,2.34,5.3,0.36,2.66,
August,,,,,,2.04,0.58,3.06,1.64,2.32,1.58,1.69,0.56,0.81,3.02,3.81,2.25,1.91,1.34,
September,,,,,,0.11,1.69,4.46,2.64,3.05,2.92,1.37,0.73,0.99,0.07,1.64,2.08,2.09,4.08,
October,,,,,,2.78,1.98,2.18,3.69,2.37,1.39,1.59,1.77,0.51,2.21,1.49,0.86,0.83,3.46,
November,,,,,,2.67,1.33,1.62,3.31,1.71,4.09,3.33,1.09,2.63,4.32,0.86,2.75,2.65,1.88,
December,,,,,,1.07,1.43,1.77,0.92,0.38,1.81,2.72,1.28,3.31,0.55,1.94,2.95,0.52,0.79,
Total,,,,,,18.57,15.94,24.91,20.98,21.18,20.31,20.41,15.12,19.27,22.75,21.99,22.11,15.54,20.01,20.6
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Notes say that most weather observations were at Paternoster Row but rainfall records are ""from the vicinity of Temple Bar"".",,,,,,,,,,,,,,,,,,,,
