NOTTINGHAM THE CASTLE ROOF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK569394,Long,-1.154605,Lat,52.948974,Elevation,268,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,0.5,1.13,2.13,1.52,0.98,1.35,1.22,2.85,0.84,1.64,0.88,2.27,3.01,0.83,1.43,1.7,2.12,0.67,2.6,1.06,1.17,0.9,1.82,0.83,3.64,2.76,1.27,2.2,1.02,2.04,1.92,3.26,2.32,1.71,2.86,0.87,1.79,,,,,,,
February,,,,,,,,,0.88,1.19,0.52,0.06,0.93,2.16,1.92,0.29,0.46,2.8,0.64,1.12,2.96,0.89,1.48,0.65,2.12,0.68,2.16,1.22,1.25,0.6,1.77,1.54,1.3,0.84,1.04,2.52,3.8,0.81,1.85,2.18,1.6,0.33,1.96,2.59,0.65,,,,,,,
March,,,,,,,,,1.79,3.09,1.01,1.03,0.6,0.34,0.61,1.17,2.26,1.76,0.89,0.66,0.61,1.67,1.03,2.58,1.31,2.31,1.31,1.23,2.44,2.97,0.54,1.29,2.26,3.14,2.1,0.71,3.45,1.08,0.68,3.9,1.44,0.78,1.27,1.04,0.83,,,,,,,
April,,,,,,,,,2.25,2.19,0.35,1.47,0.61,0.33,0.99,1.42,0.85,1.59,1.69,1.67,0.61,1.11,1.49,1.46,1.03,1.32,0.34,1.87,1.95,1.25,1.38,0.84,0.31,2.11,0.65,0.66,1.14,1.1,1.42,1.34,3.61,0.71,2.52,2.21,1.29,,,,,,,
May,,,,,,,,,0.37,3.22,1.63,2.05,2.59,2.6,1.33,0.55,0.41,0.93,1.78,2.72,1.36,0.8,1.77,3.06,1.42,0.52,1.59,2.94,1.89,0.95,2.37,0.98,2.15,1.94,1.68,1.58,2.39,1.92,2.21,1.3,1.94,1.43,0.91,2.04,3.45,,,,,,,
June,,,,,,,,0.45,1.41,0.66,0.84,2.83,2.59,1.47,1.85,0.78,2.33,2.22,1.91,0.91,3.53,0.91,1.17,1.63,0.26,2.41,1.82,2.2,1.39,2.08,1.82,2.24,3.3,0.72,1.95,0.88,1.48,1.98,0.29,0.65,2.41,0.49,0.54,0.43,1.26,,,,,,,
July,,,,,,,,0.74,3.61,2.64,2.53,1.68,1.54,2.05,2.18,2.83,3.56,0.42,1.22,2.08,1.46,2.89,0.92,1.77,1.92,1.14,0.48,2.28,3.04,3.7,2.34,0.09,3.26,0.77,2.52,5.74,1.74,1.18,2.09,2.94,4.21,0.74,3.6,3.75,2.02,,,,,,,
August,,,,,,,,1.28,1.95,2.34,2.05,3.19,2.58,1.73,2.1,1.49,1.22,2.79,2.31,0.39,3.14,0.99,4.02,4.91,2.61,2.99,0.84,2.18,2.99,2.32,3.22,1.78,4.98,1.47,2.24,1.83,1.88,3.43,1.32,2.43,0.84,4.6,5.19,2.2,2.34,,,,,,,
September,,,,,,,,1.84,0.89,1.99,1.36,0.94,2.39,2.03,0.48,0.61,2.45,1.84,0.28,2.29,0.54,0.68,0.99,2.66,1.77,1.46,0.91,0.69,1.33,2.55,0.77,1.59,0.78,1.79,0.61,0.74,1,1.35,3.9,1.36,1.32,0.97,1.63,2.24,2.5,,,,,,,
October,,,,,,,,1.34,0.38,2.14,0.87,4.04,2.94,1.28,2.02,2.06,2.07,0.79,2.37,2.83,1.82,1.59,1.92,5.65,0.36,1.25,4.48,3.33,0.94,2.68,1.73,2.05,2.75,3.52,1.7,1.2,2.06,3.11,1.39,2.19,0.95,2.27,0.58,1.22,3.33,,,,,,,
