"NOTTINGHAM THE CASTLE ROOF",,,,,,,,,,,,
Grid ref,SK569394,Long,-1.154605,Lat,52.948974,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.01,0.83,1.43,1.70,2.12,0.67,2.60,1.06,1.17,0.90,,
February,2.96,0.89,1.48,0.65,2.12,0.68,2.16,1.22,1.25,0.60,,
March,0.61,1.67,1.03,2.58,1.31,2.31,1.31,1.23,2.44,2.97,,
April,0.61,1.11,1.49,1.46,1.03,1.32,0.34,1.87,1.95,1.25,,
May,1.36,0.80,1.77,3.06,1.42,0.52,1.59,2.94,1.89,0.95,,
June,3.53,0.91,1.17,1.63,0.26,2.41,1.82,2.20,1.39,2.08,,
July,1.46,2.89,0.92,1.77,1.92,1.14,0.48,2.28,3.04,3.70,,
August,3.14,0.99,4.02,4.91,2.61,2.99,0.84,2.18,2.99,2.32,,
September,0.54,0.68,0.99,2.66,1.77,1.46,0.91,0.69,1.33,2.55,,
October,1.82,1.59,1.92,5.65,0.36,1.25,4.48,3.33,0.94,2.68,,
November,1.80,1.39,1.01,1.68,0.90,2.38,2.49,1.63,1.24,0.60,,
December,3.15,3.24,1.33,0.74,1.35,0.62,2.44,2.52,1.28,3.80,,
Total,23.99,16.99,18.56,28.49,17.17,17.75,21.46,23.15,20.91,24.40,,
Calc annual,23.99,16.99,18.56,28.49,17.17,17.75,21.46,23.15,20.91,24.40,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
