"LERWICK, FORT CHARLOTTE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,HU 47498 41456,Long,-1.146262,Lat,60.154833,Elevation,59,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,3.6,4.98,6.05,4.76,10.78,2.88,4.24,,5.42,6.22,,,4.14,5.34,5.22,6.94,7.65,2.67,5.8,4.7,5.46,,,,,,,,
February,,,3.83,3.04,4.25,4.53,3.93,2.36,4.72,,5.82,4.03,,,3.99,6.29,4.62,3.22,5.36,1.96,1.57,7.12,1.15,,,,,,,,
March,,,3.53,5.5,6.02,3.75,4.49,4.9,2.1,,6.01,5.06,,,3.22,2.69,6.09,4.07,2.38,1.2,2.91,0.77,3.35,,,,,,,,
April,,,4.1,2.54,2.58,3.31,2.98,2.69,1.66,,1.98,,,1.76,5.41,2.89,1.68,6.03,1.58,1.48,2.17,3.09,4.16,,,,,,,,
May,,2.21,4.8,2.75,2.73,1.46,5.42,1.7,,,2.96,,,4.09,3.34,2.22,2.19,1.84,1.22,1.88,1.52,2.75,1.48,,,,,,,,
June,,2.75,1.73,1.66,1.07,1.22,2.68,1.81,,,0.75,,,2.22,2.23,1,1.41,2.85,3.69,2.17,2.98,2.49,1.5,,,,,,,,
July,,1.69,2.38,0.36,2.4,3.7,2.73,1.83,,,3.45,,,1.87,4,1.66,1.12,1.96,2.03,1.13,2.51,3.87,3.33,,,,,,,,
August,,3.32,3.97,1.26,1.85,2.32,0.92,2.66,,,1.25,,,4.18,1.75,2.39,3.74,1.25,3.02,4.51,4.36,0.21,3.71,,,,,,,,
September,,3.3,1.8,2.09,3.44,1.34,2.23,8.07,,,2.34,,,5.34,4.07,3.74,4.85,3.6,2.52,4.26,3.27,1.11,,,,,,,,,
October,,1.82,5.56,2.95,2.23,1.73,8.4,10.12,,,0.42,,,4.74,3.05,4.72,2.68,3.56,5.78,8.7,4.74,4.12,,,,,,,,,
November,,5.46,5.37,7.34,6.31,4.13,6.8,7.85,,,5.64,,,7.43,2.7,2.42,4.81,6.05,5.32,7.89,4.82,5.86,,,,,,,,,
December,,7.61,6.48,5.66,6.03,5.35,5.95,5.43,,,3.81,,,5.22,7.75,4,4.61,1.59,5.86,8.13,5.48,6.34,,,,,,,,,
Total,,,47.15,40.13,44.96,37.6,57.31,52.3,,,39.85,,,,45.65,39.36,43.02,42.96,46.41,45.98,42.13,42.43,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 May-Dec no records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 No records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Gauge move to The Knab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Gauge moved back to ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Charlotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
