ALCESTER GREAT ALNE,,,,,,,,,,
Grid ref,SP117594,Long,-1.8301062,Lat,52.232674,Elevation,160,ft,,
Station no,RR7815,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,2.45,2.38,4.33,1.67,
February,,,,,,1.09,2.7,1.47,1.55,
March,,,,,,0.58,2.51,1.78,0.75,
April,,,,,,1.3,2.76,2.93,2.35,
May,,,,,,,0.46,2.04,5.13,
June,,,,,,,1.88,0.65,3.09,
July,,,,,,,1.83,3.61,1.37,
August,,,,,,,2.25,4.91,6.37,
September,,,,,,,5.6,2.13,,
October,,,,,,,1.81,1.86,,
November,,,,,2.51,,4.01,3.29,,
December,,,,,2.53,0.81,6.16,1.45,,
Total,,,,,,,34.35,30.45,,
