HACKTHORN HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK992825,Long,-0.512,Lat,53.330,Elevation,105,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.50,1.20,2.48,0.53,2.66,1.39,2.93,1.94,2.12,2.10,1.99,1.74,1.47,2.36,1.43,3.55,1.69,2.46,2.92,1.19,1.60,1.75,1.87,3.37,3.09,1.63,3.84,2.18,1.91,2.30,3.26,1.76,1.55,1.37,2.11,4.35,1.06,1.04,1.92,1.99,1.11,1.34,1.63,4.40,1.57,1.96,2.66,4.43
February,0.81,0.56,2.70,3.37,0.76,1.55,1.97,2.08,0.15,2.58,3.61,0.97,2.06,1.02,1.58,1.57,1.06,0.51,2.20,0.73,2.08,0.84,2.30,2.35,2.11,1.19,0.82,1.65,3.04,0.98,0.65,1.97,2.98,4.18,1.26,0.93,0.56,4.49,3.18,0.63,1.59,2.28,2.83,1.75,2.28,3.13,0.36,2.29
March,2.28,1.81,0.84,3.00,1.13,0.83,2.64,2.77,0.87,1.96,1.85,0.74,0.87,0.36,1.65,1.65,0.26,2.34,0.40,1.48,3.16,1.62,0.43,0.96,1.86,0.23,2.03,1.99,3.27,1.20,0.51,0.30,0.67,0.94,3.74,0.42,0.96,1.16,3.10,2.96,0.83,1.94,2.72,1.36,1.48,2.17,1.71,1.31
April,1.74,0.69,0.61,1.33,1.90,1.16,2.25,4.22,0.91,1.80,1.00,1.46,1.44,2.05,1.76,1.04,0.74,2.36,3.38,2.21,0.90,3.14,2.66,1.70,2.57,0.12,1.39,1.45,0.91,1.04,0.87,2.20,1.35,1.50,1.73,1.52,1.83,3.05,1.16,1.34,2.33,0.47,1.17,1.43,0.32,0.63,1.90,1.39
May,1.83,1.85,2.00,2.38,1.48,2.61,0.71,3.42,1.81,1.04,2.77,2.54,3.24,2.85,1.06,1.49,0.78,1.64,2.36,5.23,2.08,1.02,0.39,1.24,3.66,3.26,1.30,0.44,1.62,3.45,2.55,1.29,1.71,1.06,0.72,1.96,1.58,3.36,3.74,1.43,2.85,2.75,3.49,0.71,1.59,2.50,0.38,0.85
June,1.00,1.96,0.55,3.39,0.89,0.73,1.34,1.55,0.18,1.05,1.01,1.46,0.03,3.15,3.18,1.88,1.24,1.49,3.11,0.48,1.95,0.87,2.54,4.21,0.98,1.25,2.66,1.22,0.62,1.19,1.80,2.30,1.61,2.21,2.34,4.26,0.76,1.85,1.20,2.21,2.39,2.88,3.57,2.78,1.81,5.02,0.78,0.74
July,0.36,1.94,5.10,1.40,1.27,2.39,2.75,2.80,0.35,4.50,4.07,1.77,0.67,1.00,2.53,0.83,1.23,4.61,4.11,2.77,0.88,1.18,0.53,3.87,4.37,3.59,3.60,4.88,3.46,2.42,1.03,1.70,1.98,2.43,1.68,1.51,4.47,2.64,1.63,0.61,2.54,2.87,0.37,3.98,3.82,4.23,1.35,3.68
August,1.48,1.14,2.55,3.54,6.43,1.91,2.76,1.00,2.72,2.51,2.98,2.64,1.68,2.90,3.00,3.98,2.01,2.94,4.18,1.69,0.28,2.28,1.28,1.16,0.26,1.87,1.93,0.77,2.76,2.53,2.11,3.60,3.15,4.41,0.10,3.27,1.97,2.91,5.66,3.27,1.86,3.83,0.53,5.26,2.88,2.46,0.70,3.97
September,1.45,0.79,0.54,1.20,1.08,3.43,1.60,1.47,0.71,2.20,2.46,2.77,1.99,0.84,3.48,0.23,0.57,4.42,3.23,1.90,1.89,1.35,4.08,1.80,1.14,2.84,1.40,0.73,0.65,2.11,3.18,3.88,0.91,3.24,0.71,1.96,1.18,4.32,1.34,2.69,1.28,2.46,0.84,1.58,3.92,1.89,0.05,2.58
October,2.22,1.95,1.07,1.70,2.79,1.49,2.31,1.53,1.11,1.18,1.43,3.69,2.16,2.22,1.48,4.23,2.83,2.34,0.69,3.24,3.95,0.84,2.91,2.49,1.98,2.30,3.49,3.35,2.86,1.65,1.59,2.40,2.60,1.11,0.31,1.67,3.40,1.03,1.77,2.34,2.27,3.56,1.16,1.31,1.24,1.61,2.28,4.78
