"HACKTHORN HALL",,,,,,,,,,,,
Grid ref,SK992825,Long,-0.511910,Lat,53.330126,,,,,,,
Station no,2559,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.92,1.99,1.11,1.34,1.63,4.40,1.57,1.96,2.66,4.43,,
February,3.18,0.63,1.59,2.28,2.83,1.75,2.28,3.13,0.36,2.29,,
March,3.10,2.96,0.83,1.94,2.72,1.36,1.48,2.17,1.71,1.31,,
April,1.16,1.34,2.33,0.47,1.17,1.43,0.32,0.63,1.90,1.39,,
May,3.74,1.43,2.85,2.75,3.49,0.71,1.59,2.50,0.38,0.85,,
June,1.20,2.21,2.39,2.88,3.57,2.78,1.81,5.02,0.78,0.74,,
July,1.63,0.61,2.54,2.87,0.37,3.98,3.82,4.23,1.35,3.68,,
August,5.66,3.27,1.86,3.83,0.53,5.26,2.88,2.46,0.70,3.97,,
September,1.34,2.69,1.28,2.46,0.84,1.58,3.92,1.89,0.05,2.58,,
October,1.77,2.34,2.27,3.56,1.16,1.31,1.24,1.61,2.28,4.78,,
November,4.59,2.55,1.45,4.67,1.36,0.98,2.47,0.99,2.27,3.40,,
December,1.60,1.73,1.26,2.98,1.87,1.29,1.89,3.08,3.51,3.45,,
Total,30.89,23.75,21.76,32.03,21.54,26.83,25.27,29.67,17.95,32.87,,
Calc annual,30.89,23.75,21.76,32.03,21.54,26.83,25.27,29.67,17.95,32.87,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
