"LOCHWINNOCH CASTLESEMPLE",,,,,,,,,,,,
Grid ref,NS3773260093,Long,-4.590707,Lat,55.806775,,,,,,,
Station no,RR62,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.51,3.76,4.86,9.48,4.49,3.46,5.27,3.39,5.72,5.96,,
February,3.08,1.57,1.83,8.04,3.31,3.15,3.77,3.09,3.68,3.86,,
March,0.30,2.54,3.42,6.45,1.96,4.56,4.99,6.07,4.53,3.17,,
April,4.74,3.36,1.09,2.21,4.95,3.05,1.96,2.40,1.97,4.71,,
May,3.66,1.91,2.21,3.13,2.66,1.83,5.95,4.44,2.55,2.61,,
June,2.05,2.62,1.36,2.06,2.13,0.50,1.29,3.67,1.51,2.40,,
July,3.32,2.26,3.71,3.96,2.43,2.53,2.77,3.09,3.41,3.77,,
August,6.43,4.41,2.55,9.02,5.20,4.82,5.38,6.76,3.94,3.61,,
September,4.16,2.75,3.69,4.20,4.26,2.91,2.21,1.27,6.67,2.37,,
October,7.51,4.73,2.66,8.63,2.02,4.01,5.72,7.02,1.67,6.60,,
November,5.79,3.61,3.72,4.14,3.26,4.93,5.03,3.82,3.91,3.61,,
December,8.76,5.33,5.64,4.07,4.53,3.99,6.30,6.72,4.47,6.73,,
Total,56.31,38.85,36.74,65.39,41.20,39.74,50.64,51.74,44.03,49.40,,
Calc annual,56.31,38.85,36.74,65.39,41.20,39.74,50.64,51.74,44.03,49.40,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
