LOCHWINNOCH CASTLESEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS3773260093,Long,-4.590707,Lat,55.806775,Elevation,240,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,2.01,8.76,4.72,8.12,3.91,7.75,4.72,1.33,2.34,0.53,5.6,5.93,7.74,3.57,5.4,2.39,3.52,3.04,6.15,2.43,4.64,4.91,7.08,1.55,3.12,2.56,2.94,5.41,6.51,3.76,4.86,9.48,4.49,3.46,5.27,3.39,5.72,5.96,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,5.05,1.5,1.05,1.95,5.44,6.25,3.4,2.37,3.36,4.26,4.63,3.82,5.45,4.22,2.46,3.09,0.95,4.04,1.1,0.81,3.01,5.54,11.68,0.57,2.76,3.31,,3.05,3.08,1.57,1.83,8.04,3.31,3.15,3.77,3.09,3.68,3.86,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,3.02,2.18,5.06,2.31,6.62,3.19,3.35,4.25,3.16,4.65,4.78,0.95,3.39,2.96,3.94,2.19,4.97,2.39,3.26,3.35,1.02,2.15,4.28,3.79,7,5.22,,4.58,0.3,2.54,3.42,6.45,1.96,4.56,4.99,6.07,4.53,3.17,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,2,0.3,1.9,2,2.15,3.77,2.85,1.44,3.53,1.32,2.78,2.8,1.3,2.14,1.75,2.52,2.22,2.7,2.03,1.29,1.25,2.04,2.2,2.2,2.84,1.88,,3.9,4.74,3.36,1.09,2.21,4.95,3.05,1.96,2.4,1.97,4.71,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,4.01,4.1,2.2,3.05,1.25,2.01,2.97,2.35,1.57,2.25,2.7,2.67,3.63,2.68,2.92,1.49,3.3,3.29,2.78,1.88,4.62,2.8,3.49,0.57,0.87,2.03,,3.31,3.66,1.91,2.21,3.13,2.66,1.83,5.95,4.44,2.55,2.61,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,6.09,2.7,1.25,3.45,3.6,4.5,3.13,5.31,2.17,2.7,4.29,2.1,1.3,1.43,1.6,1.03,2.55,0.74,4.15,0.62,4.03,2.16,2.54,1.78,4.43,7.58,,1.39,2.05,2.62,1.36,2.06,2.13,0.5,1.29,3.67,1.51,2.4,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,2.06,5.07,3.4,1.74,4.41,4.05,0.77,5.43,3.48,3.86,4.49,2.8,4.62,1.81,2.83,2.86,5.53,2.62,4.47,0.94,2.57,3.12,2.38,5.37,4.87,2.71,1.19,3.58,3.32,2.26,3.71,3.96,2.43,2.53,2.77,3.09,3.41,3.77,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,7.05,5.06,5.1,4.95,5.2,8.39,3.27,4.74,1.71,4.48,2.45,7.52,3.19,3.09,2.46,3.5,2.77,4.94,3.1,4.89,9.25,3.77,5.52,6.58,1.84,5.38,6.68,1,6.43,4.41,2.55,9.02,5.2,4.82,5.38,6.76,3.94,3.61,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,6,4,6.2,4.93,3.24,1.83,6.6,6.35,2.67,2.45,3.95,3.71,4.15,7.54,2.76,5.92,1.66,2.1,6.16,3.81,6.4,3.61,0.2,2.01,4.73,4.08,6.81,5.8,4.16,2.75,3.69,4.2,4.26,2.91,2.21,1.27,6.67,2.37,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,7,10.16,10.35,7.11,8.17,7.34,7,3.75,0.69,5.04,5.47,6.18,4.67,3.79,,1.89,1.72,4.17,4.61,3.76,5.11,9.37,4.01,4.86,3.41,2.51,4.31,5.55,7.51,4.73,2.66,8.63,2.02,4.01,5.72,7.02,1.67,6.6,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
