LOCHWINNOCH CASTLESEMPLE,,,,,,,,,,,,,,
Grid ref,NS3773260093,Long,-4.590707,Lat,55.806775,Elevation,240,ft,,,,,,
Station no,RR62,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833
January,,,,,,,,5.67,6.94,1.31,0.39,1.85,1.91,0.63
February,,,,,,,,1.89,3.69,1.39,2.98,4.68,2.98,6.35
March,,,,,,,,4.48,2.35,0.58,7.78,7.55,7.12,1.25
April,,,,,,,,2.14,5.01,3.02,5.51,2.07,2.37,2.16
May,,,,,,,,4.28,1.72,3.34,3.73,2.02,2.31,2.61
June,,,,,,,,2.98,1.95,3.2,3.23,2.67,4.84,2.48
July,,,,,,,,3.7,4.34,2.33,5.63,3.48,1.75,1.69
August,,,,,,,,2.42,3.84,7.22,4.18,4.67,3.96,3.17
September,,,,,,,,2.47,3.29,3.36,10.16,3.26,2.33,2.91
October,,,,,,,,3.25,3.94,6.83,3.31,11.29,8.95,4.77
November,,,,,,,,1.96,4.85,4.35,5.18,6.94,4.64,5.26
December,,,,,,,,8.65,13,2.92,3.43,5.6,6.68,10.1
Total,,,,,,,,43.89,54.92,39.85,55.51,56.08,49.84,43.38
