KNIGHTON,,,,,,,,,,,,
Grid ref,SO287726,Long,-3.048109,Lat,52.346817,,,,,,,
Station no,4244/0/7/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,2.67,,
May,,,,,,,,,,1.56,,
June,,,,,,,,,,2.15,,
July,,,,,,,,,,3.16,,
August,,,,,,,,,,3.69,,
September,,,,,,,,,,4.09,,
October,,,,,,,,,,8.41,,
November,,,,,,,,,,7.68,,
December,,,,,,,,,,5.97,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.38,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
