KNIGHTON,,,,,,,,,,
Grid ref,SO287726,Long,-3.0481089,Lat,52.346817,Elevation,600,ft.,,
Station no,4244/0/7/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,2.67
May,,,,,,,,,,1.56
June,,,,,,,,,,2.15
July,,,,,,,,,,3.16
August,,,,,,,,,,3.69
September,,,,,,,,,,4.09
October,,,,,,,,,,8.41
November,,,,,,,,,,7.68
December,,,,,,,,,,5.97
Total,,,,,,,,,,
,,,,,,,,,,
NGR is from the 1950s record. Altitudes match.,,,,,,,,,,
NGR is actually in England.,,,,,,,,,,
"MIDAS src_id 10037 ends 1998 and places gauge 140m SW and calls the site Victorira Road, which is actually another 100m SW. Did gauge move?",,,,,,,,,,
