"BLAIRGOWRIE, KINLOCH HOUSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 15035 44864,Long,-3.385012,Lat,56.587966,Elevation,280,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,3.74,6.7,1.94,2.08,2.78,1.24,2.18,2.83,3.21,3.33,3.91,2.36,2.37,2.48,5.37,2.96,6,1.49,3.44,3.58,3.51,2.57,2.95,0.93,3.21,4.46,4.52,,
February,,,3.22,1.32,3.57,5.49,3.32,1.06,2.48,1,2.33,0.63,2.88,5.97,1.28,3.89,4.86,1.4,1.55,1.94,1.36,1.39,0.09,2.36,0.06,1.8,2.13,2.81,1.74,,
March,,,2.85,4.5,3.66,1.56,2.37,1.27,0.91,1.88,2.65,2.69,1.85,1.54,0.66,1.21,0.89,2.75,4.7,0.42,1.62,0.59,2.21,1.31,2.67,1.44,1.59,1.71,0.68,,
April,,,0.2,2.73,0.9,1.04,1.81,1.07,0.72,1.06,1.44,0.68,1.94,2.9,1.84,3.48,2.38,1.08,0.99,0.65,1.41,2.15,2.98,1.11,3.4,3.26,0.64,1.07,0.14,,
May,,,1.29,3.46,2.16,1.39,3.03,3.01,3.25,1.69,3.19,2.44,1.11,1.23,4.81,3.77,2.55,1.97,1.24,2.22,2,4.28,2.39,1.63,1.56,0.35,0.74,2.11,,,
June,,,3.57,1.97,1.52,1.34,2.04,1.67,0.66,1.46,1.22,0.58,1.44,0.76,1.72,0.34,2.4,3.14,2.59,1.83,2.13,4.9,0.81,1.22,0.93,3.66,2.56,1.09,,,
July,,,2.07,0.58,2.6,3.15,6.97,0.89,5.82,0.7,1.94,3.16,3.89,1.21,4.64,2.67,2.24,4.32,0.76,4.08,3.58,3.52,4.66,3.46,3.92,0.61,4.07,4.21,,,
August,,,3.63,0.92,2.58,3.12,3.6,5.53,4.12,2.62,3.8,5.42,2.63,5.76,4.1,2.58,2.98,5.63,4.34,3.31,5.85,2.09,1.26,0.53,4.34,2.01,1.43,5.72,1.4,,
September,,,2.1,2.53,0.58,1.63,1.35,1.63,3.58,1.04,1.78,1.22,1.77,3.02,3.79,2.86,3.49,3.51,2.67,0.68,3.78,0.92,1.97,2.59,3.8,4.24,3.35,1.39,4.76,,
October,,1.93,3.6,1.72,2.5,4.1,5.1,2.87,2.44,1.02,2.8,2.7,1.54,2.92,3.49,3.41,5.03,4.77,4.01,2.64,3.64,1.3,6.1,2.49,3.37,4.63,1.82,3.43,3.64,,
November,,3.38,2.14,2.32,3.45,2.34,3.93,2.68,2.02,4.4,2.94,2.36,1.36,1.82,2.04,1.08,5.78,2.29,3.44,3.11,2.95,7.09,1.8,2.58,0.46,3.31,1.7,0.59,4.95,,
December,,5.07,4.57,0.99,6.42,5.79,3.83,1.18,1.84,5.06,3.8,2.04,2.58,3.06,5.47,3.79,0.5,1.67,2.74,4.83,5.13,1.46,4.98,1,4.98,2.45,3.02,2.2,3,,
Total,,,32.98,29.74,31.88,33.03,40.13,24.1,30.02,24.76,31.1,27.25,26.9,32.55,36.21,31.56,38.47,35.49,35.03,27.2,36.89,33.27,32.76,22.85,32.44,28.69,26.26,30.79,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 MJJ deleted gauge leaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
