AMBERGATE-RES-CRICH,,,,,,,,,,,,,,,,,,,,
Grid ref,SK347531,Long,-1.4835204,Lat,53.074011,Elevation,690,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.46,1.68,2.7,1.14,,,,,,,,
February,,,,,,,,,1.99,2.12,2.57,1.73,,,,,,,,
March,,,,,,,,,2.78,2.05,0.76,1.65,,,,,,,,
April,,,,,,,,,2.39,2.58,3.03,1.6,,,,,,,,
May,,,,,,,,,2.98,2.01,1.94,1.59,,,,,,,,
June,,,,,,,,,1.56,3.38,1.71,2.2,,,,,,,,
July,,,,,,,,,3.2,4.2,2.62,0.02,,,,,,,,
August,,,,,,,,2.52,2.99,2.75,3.55,1.23,,,,,,,,
September,,,,,,,,0.68,2.55,1.99,0.37,1.75,,,,,,,,
October,,,,,,,,3.98,1.49,4.93,2.43,2.06,,,,,,,,
November,,,,,,,,2.67,1.52,0.8,4.08,2.25,,,,,,,,
December,,,,,,,,3.06,1.66,6.19,4.06,3.76,,,,,,,,
Total,,,,,,,,,26.57,34.68,29.82,20.98,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Crich Reservoir. Altitudes match.,,,,,,,,,,,,,,,,,,,,
