"AMBERGATE CRICH RESERVOIR WORKS",,,,,,,,,,,,
Grid ref,SK350526,Long,-1.479097,Lat,53.069497,,,,,,,
Station no,2666,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.46,1.68,,
February,,,,,,,,,1.99,2.12,,
March,,,,,,,,,2.78,2.05,,
April,,,,,,,,,2.39,2.58,,
May,,,,,,,,,2.98,2.01,,
June,,,,,,,,,1.56,3.38,,
July,,,,,,,,,3.20,4.20,,
August,,,,,,,,2.52,2.99,2.75,,
September,,,,,,,,0.68,2.55,1.99,,
October,,,,,,,,3.98,1.49,4.93,,
November,,,,,,,,2.67,1.52,0.80,,
December,,,,,,,,3.06,1.66,6.19,,
Total,,,,,,,,,26.57,34.68,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.91,26.57,34.68,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
