SIXMILECROSS RECTORY,,,,,,,,,,
Grid ref,IH567679,Long,-7.123298907,Lat,54.55683596,Elevation,400,ft,,
Station no,RR7985,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,4.66,1.96,2.54,2.7,5.7,4.56,,,,
February,1.15,0.51,1.75,4.08,4.56,0.62,,,,
March,3.91,2.79,0.64,1.46,3.04,4.25,,,,
April,1.91,2.74,1.12,1.26,2.98,2.15,,,,
May,2.08,3.04,5.07,1.48,2.44,0.56,,,,
June,3.36,1.62,2.9,2.31,2.61,1.78,,,,
July,3.1,4.17,2.61,3.49,3.16,5.61,,,,
August,4.47,7.1,6.14,5.49,2.63,7.42,,,,
September,3.07,3.57,4.76,2.77,0.12,0.82,,,,
October,2.92,3.14,3.11,3.68,4.86,3.9,,,,
November,6.91,2.66,4.66,2.35,2.82,4.74,,,,
December,1.92,4.89,2.54,4.12,4.03,5.5,,,,
Total,39.46,38.19,37.84,35.19,38.95,41.91,,,,
