SUNDERLAND (THE GRANGE),,,,,,,,,,,,,,,,,,,,
Grid ref,NZ395564,Long,-1.3855709,Lat,54.900772,Elevation,125,ft,,,,,,,,,,,,
Station no,RR7497,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,1.21,2.55,1.15,0.22,0.27,3.66,0.9,1.97,2.58,1,1.59,1.13,4.78,1.77,1.98
February,,,,,,2.35,1.33,0.11,0.51,0.42,1.29,1.66,1.48,0.35,1.96,1.49,1.43,0.6,0.7,1.11
March,,,,,,1.99,0.27,2.06,0.95,1.88,1.13,3.09,3.21,1.13,2.77,1.2,2.83,2.31,1.12,1.97
April,,,,,,0.26,2.78,1.44,0.57,1.53,0.94,1.74,1.07,0.87,1.72,0.94,2.21,1.09,2.23,1.47
May,,,,,,1.68,3.35,1.16,2.35,1.14,2.37,0.96,1.79,1.33,1.8,4.74,1.01,2.57,1.23,2.86
June,,,,,,2.41,3.2,2.57,1.7,1.54,2.87,2.05,3.28,3.68,1.48,0.8,2.04,1.66,0.46,1.27
July,,,,,,2.9,2.08,1.14,3.36,2.12,3.05,3.79,1.93,1.17,0.96,1.87,1.04,3.69,1.01,1.09
August,,,,,1.25,2.97,3.4,3.53,2.58,1.2,2.05,1.54,1.77,2.99,1.19,3.32,2.24,2.18,2.02,1.58
September,,,,,0.51,0.32,3.89,2.87,2.59,1.97,2.26,2.26,0.98,2.15,1.25,0.56,3.66,2.24,4.2,3.68
October,,,,,1.58,3.53,1.25,0.97,2.01,1.97,2.12,1.15,1.77,3.19,4.94,5.53,0.87,1.15,2.11,3.01
November,,,,,3.14,2.54,1.4,1.89,2.3,1.88,3.05,4.19,1,3.15,1.57,2.41,2,0.62,2.52,2.18
December,,,,,1.07,2.17,2.59,0.07,0.79,2.45,4.6,1.16,1.34,2.34,3.12,1.61,1.68,1.61,4.13,3.16
Total,,,,,,24.33,28.09,18.96,19.93,18.37,29.39,24.49,21.59,24.93,23.76,26.06,22.14,24.5,23.5,25.36
