"BUNCRANA ROCKFORT",,,,,,,,,,,,
Grid ref,IC3460031700,Long,-7.458262,Lat,55.131518,,,,,,,
Station no,RR1086,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.30,3.92,2.68,4.60,4.09,3.05,6.33,2.12,2.95,5.22,,
February,2.87,1.72,2.00,3.65,2.89,3.30,3.84,2.89,3.01,2.52,,
March,1.00,3.13,3.40,4.31,1.86,4.07,3.65,5.07,4.32,3.49,,
April,3.54,3.30,2.86,2.17,3.53,3.56,3.08,2.62,2.73,2.94,,
May,2.47,1.43,3.78,2.32,2.54,1.69,3.75,4.02,2.18,2.57,,
June,5.12,4.51,1.48,1.04,0.77,2.80,1.11,4.82,2.65,1.38,,
July,3.13,1.69,3.71,4.16,3.84,2.36,1.76,3.48,3.48,4.27,,
August,4.06,5.03,2.23,7.39,6.70,4.16,4.99,5.19,5.00,2.93,,
September,3.43,3.08,4.15,2.90,2.22,2.17,1.17,1.31,6.32,2.30,,
October,5.94,3.50,3.42,5.87,2.94,2.90,2.76,3.47,1.65,4.20,,
November,5.23,3.42,3.04,4.00,5.55,4.92,4.18,3.40,2.72,2.67,,
December,3.93,5.17,3.76,2.68,3.45,2.45,5.41,4.13,4.39,5.51,,
Total,45.02,39.90,36.51,45.09,40.38,37.43,42.03,42.52,41.40,40.00,,
Calc annual,45.02,39.90,36.51,45.09,40.38,37.43,42.03,42.52,41.40,40.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
