BUNCRANA ROCKFORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IC3460031700,Long,-7.458262,Lat,55.131518,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,3.18,2.19,6.68,5.13,2.07,2.31,0.95,2.94,5.01,5.55,2.94,5.65,2.55,2.66,2.79,4.6,3.08,3.23,2.85,5.46,3.5,1.77,1.39,1.51,4.62,4.3,3.92,2.68,4.6,4.09,3.05,6.33,2.12,2.95,5.22,4.69,1.76,3.14,4,2.1,,,,,
February,,,,,,1.26,4.01,4.02,1.34,1.69,2.24,3.79,3.17,3.19,3.55,3.3,3.52,2.61,1.38,3.57,1.03,0.31,2.47,3.88,5.36,0.8,2.48,2.67,5.01,2.01,2.87,1.72,2,3.65,2.89,3.3,3.84,2.89,3.01,2.52,5.66,3.18,2.36,1.89,6.51,,,,,
March,,,,,,1.77,5.27,3.28,3.01,2.18,1.98,3.48,3.08,2.54,2.44,2.52,3.13,2,3.43,2.71,2.47,4.31,0.87,2.05,2.34,4,5.41,5.76,2.59,2.04,1,3.13,3.4,4.31,1.86,4.07,3.65,5.07,4.32,3.49,2.61,2.09,4.64,3.63,,,,,,
April,,,,,,0.96,2.89,1.95,2.74,1.65,2.95,2.07,2.89,1.53,1.53,1.85,2.18,1.81,2.41,3.14,1.82,2.04,1.63,1.16,2.36,1.7,2.29,2.15,3.82,4.46,3.54,3.3,2.86,2.17,3.53,3.56,3.08,2.62,2.73,2.94,2.34,2.53,2.49,3.78,,,,,,
May,,,,,,2.39,0.69,2.22,3.96,3.08,1.78,2.23,2.32,2.15,2.88,2.62,2.99,2.7,2.93,4.13,1.56,2.65,4.31,1.57,2.95,1.23,1.11,3.32,3.68,2.48,2.47,1.43,3.78,2.32,2.54,1.69,3.75,4.02,2.18,2.57,2.7,1.3,1.26,2.23,,,,,,
June,,,,,,4.04,2.57,2.89,3.16,5.61,3.66,4.3,3.99,2.21,1.35,0.84,2.69,0.66,4.67,0.78,2.82,2.37,3.47,1.95,2.19,2.23,3.21,5.51,2.66,2.09,5.12,4.51,1.48,1.04,0.77,2.8,1.11,4.82,2.65,1.38,4.29,2.22,5.77,3.55,,,,,,
July,,,,,,2.17,1.8,4.67,0.47,6.42,6.46,2.74,5.64,3.01,3.42,1.61,3.29,3.56,7.53,3.26,3.78,3.57,3.04,3.85,4.06,4.36,4.35,2.61,0.48,2.01,3.13,1.69,3.71,4.16,3.84,2.36,1.76,3.48,3.48,4.27,5.1,3.44,3.34,2.25,,,,,,
August,,,,,,2.42,3.86,6.23,3.29,2.88,0.98,3.21,3.21,5.48,3.92,2.18,1.86,4.14,4.18,6.44,5.2,5.23,4.61,5.58,2.9,4.71,3.06,4.46,3.74,1.83,4.06,5.03,2.23,7.39,6.7,4.16,4.99,5.19,5,2.93,8.75,2.22,3.97,2.68,,,,,,
September,,,,,,4.14,3.84,3.12,4.1,5.11,3.14,2.76,5.33,5.19,3.4,4.84,3.94,4.41,1.7,3.24,4.98,2.95,3.8,3.92,0.4,1.14,5.76,2.6,3.97,5.32,3.43,3.08,4.15,2.9,2.22,2.17,1.17,1.31,6.32,2.3,0.99,1.67,2.03,3.92,,,,,,
October,,,,,,4.8,4.12,6.76,6.69,2.49,1.85,3.72,3.08,4.75,4.65,4.95,4.68,3.54,2.98,5.81,3.96,5.04,5.57,5.23,3.3,7.81,6.36,2.95,4.44,2.27,5.94,3.5,3.42,5.87,2.94,2.9,2.76,3.47,1.65,4.2,2.43,2.85,3.79,2.48,,,,,,
November,,,,,,6.35,3.13,6.69,5.36,1.96,5.59,4.4,7.82,4.58,5.59,2.56,4.17,4.35,3.7,1.98,7.79,3.12,4.36,3.03,3.88,3.97,0.89,2.26,4.73,3.39,5.23,3.42,3.04,4,5.55,4.92,4.18,3.4,2.72,2.67,4.59,4.7,4.51,5.64,,,,,,
