REDWICK-MIX-POSITION-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST410840,Long,-2.8523289,Lat,51.551788,Elevation,24,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,4009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,1.85,5.43,4.04,6.54,1.22,5.19,1.84,4.63,2.26,2.76,0.73,4.02,3.85,4.87,6.21,3.43,4.37,3.61,,,,,,,,
February,,,,,,2.98,2.28,3.25,3.97,1.27,0.44,2.06,0.05,3.58,0.54,3.12,2.1,4.87,1.14,1.37,2.86,2.78,0.27,,,,,,,,
March,,,,,,0.21,0.28,2.71,4.04,0.59,2.42,0.91,2.06,2.94,1.69,0.7,3.31,3.41,0.38,1.16,2.26,2.61,2.33,,,,,,,,
April,,,,,,0.81,2.39,1.5,0.95,0.82,2.8,3.12,3.11,1.42,1.92,5.86,2.84,2.47,0.09,2.9,2.76,0.89,1.28,,,,,,,,
May,,,,,,2.62,1.69,0.96,0.83,2.75,1.45,4.24,5.54,2.34,1.58,1.19,1.8,2.32,2.75,0.74,2.87,1.78,3.59,,,,,,,,
June,,,,,,0,2.1,3.14,2.47,1.99,0.8,4.13,0.95,1.33,1.45,3.56,3.87,1.07,1.53,1.88,0.88,1.68,0.2,,,,,,,,
July,,,,,,2.26,2.42,4.83,2.76,1.57,2.78,3.08,2.83,1.05,0.32,0.69,6.44,3.55,3.52,5.89,4.47,2.47,1.84,,,,,,,,
August,,,,,,3.26,3.44,3.67,2.49,2.86,3.32,3.26,1.8,1.34,2.64,1.54,0.69,0.68,4.07,2.53,0.13,4.88,3.36,,,,,,,,
September,,,,,,4.24,0.75,5.23,0.83,0.37,3.42,1.37,4.38,1.9,3.98,7.17,3.84,1.73,2.05,1.16,0.69,0.57,2.73,,,,,,,,
October,,,,,,5.04,3.44,2.97,5.69,5.24,3.66,0.63,6.32,3.55,1.98,5.45,1.53,2.57,6.2,2.85,4.95,1.89,2.37,,,,,,,,
November,,,,,,1.84,7.48,4.08,3.96,10.11,4.17,5.08,1.88,0.7,1.16,6.52,3.89,1.99,4.53,6.16,7.29,1.9,,,,,,,,,
December,,,,,,3.95,0.38,3,3.95,8.14,3.61,2.01,1.79,1.57,7.81,3.99,4.16,2.15,3.87,2.02,1.68,2.24,,,,,,,,,
Total,,,,,,29.06,32.08,39.38,38.48,36.93,34.06,31.73,35.34,23.98,27.83,40.52,38.49,30.66,35,34.87,34.27,28.06,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is based on the relationship to the church. Altitudes match. Gauge moved 700 ft NE in Nov 1942 to Position 2?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
