WIMBORNE-WEST-BOROUGH,,,,,,,,,,,,,,,,,,,,
Grid ref,SU009001,Long,-1.98788,Lat,50.80086,Elevation,66,ft,,,,,,,,,,,,
Station no,RR8754,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,4.85,1.38,8.68,1.92,5.3,,,1.49,,,,,,,
February,,,,,,2.74,3.02,0.69,2.42,5.18,,,2.3,,,,,,,
March,,,,,,1.84,2.99,2.36,1.29,0.55,,,0.82,,,,,,,
April,,,,,,1.5,1.74,3.72,4.27,2.94,,,5.31,,,,,,,
May,,,,,,2.08,0.64,2.05,5.16,3.26,,,2.07,,,,,,,
June,,,,,,2.69,2.15,0.88,3.71,7.2,,,3.93,,,,,,,
July,,,,,,5.06,0.69,3.34,2.03,5.29,,,5.65,,,,,,,
August,,,,,,1.91,3.6,3.92,3.98,4.58,,,1.53,,,,,,,
September,,,,,,3.6,6.96,3.75,0.93,4.41,,,4.03,,,,,,,
October,,,,,,7.47,2.71,2.48,4.22,1.23,,,8.87,,,,,,,
November,,,,,,7.3,4.41,9.4,2.49,0.21,,,5.04,,,,,,,
December,,,,,,1.99,9.24,2.07,1.49,0.69,,,3.58,,,,,,,
Total,,,,,,43.03,39.53,43.34,33.91,40.84,,,44.62,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Unknown which house in West Borough other than near Lukas Lane between The Square and Church Lane,,,,,,,,,,,,,,,,,,,,
