ALDWORTH-READING,,,,,,,,,,,,,,,,,,,,
Grid ref,SU554794,Long,-1.2030967,Lat,51.51082,Elevation,500,ft,,,,,,,,,,,,
Station no,RR1237,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,,0.5,1.4,4.83,2.74,1.63,,,2.56,4.9,2.94,1.27,
February,,,,,,,,,2.28,2.24,2.4,2,2.58,,,1.2,1.3,2.5,4.71,
March,,,,,,,,,1.4,2.26,0.15,2.37,3.2,,,1.2,2.2,0.75,2.8,
April,,,,,,,,,0.36,1.93,0.1,1.79,0.48,,,1.07,3.94,2,7,
May,,,,,,,,,0.98,0,2.31,2.62,1.56,,,2.55,2,2.9,,
June,,,,,,,,,5.44,6.63,1.56,2.11,1.21,,,3.2,0.88,1.96,,
July,,,,,,,,,1.72,4.56,1.42,2.16,3.38,,,1.82,-999,1.33,,
August,,,,,,,,,1.56,2.17,2,3.06,,,,3.28,-999,1.33,,
September,,,,,,,,,4.01,6.26,2.89,6.32,,,1.73,3.63,1.43,1.81,,
October,,,,,,,,,2.96,4.18,2,4.49,,,5.89,2.18,5.66,5.55,,
November,,,,,,,,,4.6,5.75,5.33,4.81,,,4.12,3.18,2.24,2.8,,
December,,,,,,,,,2.4,3.55,0.72,3.16,,,0.52,2.71,0.9,4.25,,
Total,,,,,,,,,28.21,40.93,25.71,37.63,,,,28.58,32.45,30.12,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
IDR 1846 Jul-Aug -999,,,,,,,,,,,,,,,,,,,,
