LONDON-SOHO-SQUARE,,,,,,,,,,
Grid ref,TQ296811,Long,-0.13370996,Lat,51.513968,Elevation,80,ft.,,
Station no,RR6346,,,,,,,,,
,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819
January,0.26,1.08,1.54,0.4,,,,,,
February,1.44,1.26,3.7,2.42,,,,,,
March,2.54,0.8,2.42,0.62,,,,,,
April,1.7,1.12,1.34,1.44,,,,,,
May,1.04,2.58,2.34,3.16,,,,,,
June,0.56,1.82,2.54,1.12,,,,,,
July,3.78,3.22,2.46,2.82,,,,,,
August,2.46,2.26,1.92,0.88,,,,,,
September,1.98,1.54,0.64,1.04,,,,,,
October,1.92,2.52,3.86,4.74,,,,,,
November,6.08,2.42,2.34,1.1,,,,,,
December,2.94,2.04,0.7,0.72,,,,,,
Total,26.7,22.66,25.8,20.46,,,,,,
,,,,,,,,,,
"NGR is 31-32 Soho Square where there is a plaque commemorating Sir Joseph Banks, the observer, who lived there.",,,,,,,,,,
"The records has a stamp suggesting NGR TQ297812, which is the square itself, but the record states the gauge was on the roof of the library.",,,,,,,,,,
Altitude is from record but is Ground Level; height of building probably about 50 ft,,,,,,,,,,
