BOSTON - EASTVILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF404602,Long,0.097,Lat,53.121,Elevation,3,ft,,,,,,,,,,,,,,,,,,,,
Station no,2560/4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.55,1.40,1.96,2.84,3.16,1.94,3.97,1.29,1.58,2.30,4.60,2.15,2.03,1.36,1.50,3.78,1.30,0.88,2.60,1.72,0.75,1.30,2.01,5.28,1.37,1.96,3.34,4.34
February,1.60,0.63,1.55,2.22,1.97,0.50,0.54,1.91,2.22,1.13,0.40,1.85,1.89,1.72,1.00,0.74,0.96,2.83,2.70,0.48,1.70,2.12,2.85,1.29,2.32,2.56,0.20,2.95
March,2.22,1.61,0.51,0.98,2.53,0.16,1.57,1.39,2.54,0.87,0.40,0.20,0.63,0.81,4.31,0.47,0.56,0.56,3.11,3.01,0.91,1.64,2.09,0.69,1.24,1.46,2.28,0.84
April,1.36,1.52,2.60,1.35,2.63,0.08,1.86,0.95,0.63,0.54,0.84,1.77,1.45,0.65,1.79,1.35,2.13,2.08,2.37,1.05,2.08,0.49,1.14,1.25,0.19,0.72,1.90,0.87
May,1.44,0.82,0.35,0.83,3.60,1.82,0.74,0.93,1.55,3.29,2.01,2.10,1.34,1.33,0.33,2.28,2.08,2.36,3.45,1.60,2.28,2.84,3.81,0.25,1.51,2.65,0.33,0.70
June,2.56,0.94,2.45,3.29,1.52,0.99,2.12,0.63,0.28,1.05,2.75,1.67,1.87,2.64,2.33,3.17,0.67,1.65,1.37,1.33,3.33,2.41,2.99,1.85,1.97,3.01,0.60,0.27
July,1.52,1.64,0.61,4.73,1.99,3.11,3.25,5.73,4.25,2.72,1.27,1.99,1.22,2.61,1.50,1.49,1.70,2.44,0.74,0.44,1.53,1.78,0.56,2.10,2.38,4.11,1.84,3.01
August,0.48,1.93,1.66,1.19,0.77,3.02,1.26,0.83,4.08,1.75,2.16,2.52,3.48,3.57,0.02,3.91,1.57,2.13,3.46,1.57,1.88,4.00,0.53,3.06,2.03,1.42,1.29,3.45
September,1.27,1.33,2.92,1.33,1.21,2.81,1.37,0.83,0.74,1.08,1.95,3.96,1.71,3.10,1.15,2.78,0.87,3.24,1.58,2.25,1.10,1.77,0.83,2.07,3.05,2.02,0.18,2.12
October,2.75,1.14,2.32,1.91,1.49,2.12,3.96,2.36,2.34,2.07,0.80,2.57,1.88,2.55,0.17,2.05,3.90,0.93,1.03,2.40,1.84,2.59,1.64,0.97,1.14,1.74,1.34,5.38
November,2.53,1.62,3.49,1.85,1.91,1.81,3.86,3.53,2.71,2.37,2.38,3.57,0.96,4.01,1.27,1.06,2.89,4.09,3.18,2.81,1.36,3.66,0.77,0.92,2.06,0.77,2.25,3.79
December,0.51,3.47,2.23,1.00,2.17,4.21,2.07,1.57,0.57,1.52,0.69,0.97,2.21,1.99,2.19,3.52,1.53,1.36,1.06,1.27,0.61,2.20,1.49,1.26,1.95,3.10,3.76,4.03
Total,19.79,18.05,22.65,23.52,24.95,22.57,26.57,21.95,23.49,20.69,20.25,25.32,20.67,26.34,17.56,26.60,20.16,24.55,26.65,19.93,19.37,26.80,20.71,20.99,21.21,25.52,19.31,31.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The station number (originally 2546/5) changed in 1938, resulting in a second 1930s sheet being used.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The December 1938 figure is identified as a part-estimate due to snow on the sheet and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The February 1947 figure is identified as a part-estimate due to snow on the sheet and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 2002 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
