BROADHEMBURY HONITON,,,,,,,,,,,,,,,,,,,,
Grid ref,ST103048,Long,-3.2751,Lat,50.8361,Elevation,475,ft,,,,,,,,,,,,
Station no ,1824/5 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January ,,,,,,,,4.08,6.35,2.18,4.04,4.37,8.78,,,,,,,
February ,,,,,,,,1.25,2.15,4.55,4.51,0.44,1.58,,,,,,,
March ,,,,,,,,0.25,1.02,2.96,3.16,3.33,1.42,,,,,,,
April ,,,,,,,,0.15,2.4,2.64,1.81,1.27,0.97,,,,,,,
May ,,,,,,,,2.07,0.94,1.81,2.01,6.91,2.54,,,,,,,
June ,,,,,,,,2.1,2.59,1.02,1.56,0.87,2.22,,,,,,,
July ,,,,,,,,3.65,5.62,3.04,1.29,1.76,3.63,,,,,,,
August ,,,,,,,,-999,2.62,0.07,4.15,5.29,3.23,,,,,,,
September ,,,,,,,,-999,1.38,1.81,0.94,2.84,3.59,,,,,,,
October ,,,,,,,,2.5,5.33,4.54,1.65,2.94,4.11,,,,,,,
November ,,,,,,,,5.85,7.94,8.01,3.06,1.3,2.87,,,,,,,
December ,,,,,,,,5.6,2.23,3.51,2,5.13,4.49,,,,,,,
Total ,,,,,,,,32.85,40.57,36.14,30.18,36.45,39.43,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_11_pt1-page-202 added,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_13_pt1-page-251 added,,,,,,,,,,,,,,,,,,,,
1938 Aug-Sep -999,,,,,,,,,,,,,,,,,,,,
