BROADHEMBURY HONITON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST103048,Long,-3.2751,Lat,50.8361,Elevation,475,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874
January,,,,,,,,2.83,1.98,2.21,3.7,3.3,3.85,3.71,2.68,2.94,4.76,2.61,2.39,3.09,1.44,5.47,6.07,3.16,3.9,0.13,3.75,2.61,0.8,1.93,4.26,0.9,3.26,4.97,2.74,4.13,4.92,4.62,3.19,3.76,2.08,2.96,5.46,4.66,3.37
February,,,,,,,,4.35,4.36,2.45,3.59,2.81,2.22,3.57,3.41,2.1,2.09,1.95,4.04,1.55,2.13,1.42,1.2,3.66,0.94,2.36,2.03,2.45,1.51,2.28,1.12,3.38,1.1,0.77,2.06,3.69,4,2.94,1.85,2.72,2.74,1.96,4.26,2.09,3.43
March,,,,,,,,0.24,1.86,2.49,0.14,3.96,3.44,1.65,3.57,0.62,2.07,3.11,4.13,1.49,0.59,4.64,0.86,1.03,0.53,1.72,1.93,3.15,1.28,2.06,3.13,3.45,5.07,2.14,2.99,1.9,3.41,4.96,2.01,2.22,1.91,1.06,2.73,4.16,0.74
April,,,,,,,,1.55,1.62,2.54,0.43,2.14,0.59,4.47,0.96,1.8,3.96,1.73,3.89,3.2,5.93,1.7,1.12,3.53,0.54,0.45,4.3,4.39,4.21,3.74,2.33,0.58,3.15,2.11,0.96,0.48,2.44,2.7,2.08,1.11,0.56,5.09,2.71,1,2.35
May,,,,,,,,1.13,2.93,1.01,1.49,3.06,1.69,4.36,0.14,1.64,2.76,3.57,1.36,4.05,2.39,1.75,3.2,1.87,3.14,2.38,4.09,2.41,2.16,1.32,4.03,1.06,2.68,2.07,1.1,3.85,1.77,2.92,1.15,5.36,1.27,0.55,2.25,1.25,0.74
June,,,,,,,,2,5.61,4.7,1.24,3.3,1.03,4.52,1.66,3.47,2.04,2.03,4.56,0.68,2.29,1.99,5.55,3.62,2.9,3.99,1.28,1.72,1.56,3.41,6.63,2.66,3.46,4.92,1.38,1.35,1.21,1.72,1.22,0.53,0.18,2.93,4.58,1.83,2.26
July,,,,,,,,1.75,1.71,5.78,2.39,2.96,1.75,1.86,1.23,2.51,3.99,2.2,2.88,2.74,2.39,3.42,0.74,3.32,2.5,4.52,1.31,2.81,2.74,1.71,2.36,3.9,2.83,0.76,0.75,2.83,1.97,4.75,1,0.84,0.64,4.98,4.77,1.95,1.54
August,,,,,,,,3.9,2.31,1.15,1.64,3.51,2.6,3.6,2.45,3.25,5.41,1.85,4.15,1.47,2.22,2.18,5.77,2.64,1.29,2.11,4.39,0.51,2.45,4.35,5.21,1.17,2.57,3.9,1.08,4.27,2.07,1.5,5.5,0.66,1.05,1.53,1.4,4.82,3.31
September,,,,,,,,2.77,1.67,5.11,2.14,6.52,2.21,0.4,1.27,4.75,2.53,1.68,3.33,3.02,2.92,0.55,4.67,2.24,0.56,0.77,3.11,1.9,3.23,4.16,2.8,2.65,3.57,3.23,3.93,0.01,8.19,2.34,5.23,4.25,1.8,5.32,3.28,2.26,5.5
October,,,,,,,,1.94,3.62,6.6,2.05,5.06,1.93,5.88,3.99,1.18,5.75,8,4.2,2.27,2.74,3.66,4.93,4.39,4.39,5.74,2.76,6.02,2.68,5.39,2.01,2.24,5.18,5.92,2.09,6.54,3.05,4.01,3.24,1.73,5.08,3.69,5.86,2.03,
November,,,,,,,,2.62,8.6,5.03,7.07,5.32,8.7,3.59,3.95,4.32,3.59,2.21,2.38,2.79,3.52,2.68,10.02,2.08,2.36,1.3,1.38,1.21,2.26,3.05,3.27,4.53,1.12,2.89,2.68,4.66,2.05,1.47,3.14,2.39,2.71,1.5,4.7,4.57,
December,,,,,,,,3.31,3.09,4.87,0.91,4.78,2.14,0.61,1.15,1.9,1.38,5.21,5.56,4.86,2.81,2.19,5.53,2.18,1.87,2.06,3.35,0.71,3.72,3.12,5.47,2,2.78,1.6,3.61,3.44,3.28,1.76,6.27,4.41,2.46,2.81,6.32,0.43,
Total,,,,,,,,28.39,39.36,43.94,26.79,46.72,32.15,38.22,26.46,30.48,40.33,36.15,42.87,31.21,31.37,31.65,49.66,33.72,24.92,27.53,33.68,29.89,28.6,36.52,42.62,28.52,36.77,35.28,25.37,37.15,38.36,35.69,35.88,29.98,22.48,34.38,48.32,31.05,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1841 Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1842 Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1849 Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
