BILLERICAY,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ675947,Long,0.41848626,Lat,51.626187,Elevation,308,ft,,,,,,,,,,,,
Station no,RR6665,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,1.83,3.33,1.89,0.74,2.54,0.65,3.85,1.02,1.81,0.3,,,,,,,,,
February,,1.4,0.8,1.14,0.55,0.41,2.16,1.37,1.08,2.87,1.17,,,,,,,,,
March,,0.23,1.95,1.08,0.15,0.51,2.18,2.29,0.22,0.71,0.23,,,,,,,,,
April,,2.24,1.45,0.77,1.24,0.93,1.15,2.3,2.15,2.87,1.65,,,,,,,,,
May,,1.06,3.24,1.4,1.34,1.27,1.23,2.16,2.81,2.14,0.43,,,,,,,,,
June,,3.23,2.09,2.42,1.62,1.9,1.37,0.64,1.82,4.08,2.48,,,,,,,,,
July,,2.97,3.6,2.09,2.07,6.35,0.41,2.53,0.75,4.03,3.34,,,,,,,,,
August,,1.18,1.77,1.68,0.79,1.08,1.54,2.21,7.63,4.19,0.85,,,,,,,,,
September,,4.78,1.32,2.21,2.08,2.62,2.11,1.15,0.9,2.81,2.22,,,,,,,,,
October,,1.72,2.99,2.27,3.4,3.67,1.54,1.66,1.61,0.93,6.91,,,,,,,,,
November,,0.6,2.47,1.92,1.49,3.31,2.95,2.87,2.58,-999,1.92,,,,,,,,,
December,,1.2,2.92,0.35,1.21,0.49,5.42,1.66,0.76,-999,1.99,,,,,,,,,
Total,,22.44,27.93,19.22,16.68,25.08,22.71,24.69,23.33,27.98,23.49,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1879 Nov Dec -999 (1.54),,,,,,,,,,,,,,,,,,,,
Note that this is a roof gauge,,,,,,,,,,,,,,,,,,,,
Obs: Maj Spitty,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,
