"TAIN, ARDLARACH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 76092 81854,Long,-4.08698,Lat,57.809079,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,2.3,3.79,4.71,0.62,2.57,3.43,5.22,1.98,2.29,2.33,3.92,2.41,4.3,3.23,0.96,2.17,3.24,1.73,4.33,,,,,,
February,,,,,,,2.44,1.33,2.6,0.54,0.78,2.93,0.58,3.19,2.06,2.73,2.04,3.69,2.16,2.11,1.2,2.64,2.33,3.17,1.81,,,,,,
March,,,,,,,2.62,1.78,2.5,0.61,1.26,1.99,2.84,1.1,2.11,2.41,1.14,2.23,1.12,2.75,1.85,3.08,1.27,1.75,,,,,,,
April,,,,,,,2.31,2.78,1.08,1.69,1.36,2.76,3.99,2.12,3.57,3.15,1.62,0.55,0.8,2.28,3.71,1.18,2.21,2.62,,,,,,,
May,,,,,,,3.46,2.29,2.1,2.6,2.42,3.85,3.65,1.52,1.72,2.53,1.53,1.77,2.59,0.48,1.93,2.52,3.75,2.86,,,,,,,
June,,,,,,,2.08,2.65,3.25,2.79,1.81,3.64,0.66,2.99,1.89,4.21,1.21,2.14,2.98,1.27,1.04,0.31,1,2.03,,,,,,,
July,,,,,,,1.46,2.53,2.02,1.66,2.24,4.11,4.15,3.3,5.71,2.18,5.08,2.6,6.59,7.87,9.17,1.87,2.34,2.58,,,,,,,
August,,,,,,,2.63,2.19,2.81,4.78,6.32,1.76,1.42,2.59,3.15,3.63,1.73,3.18,1.24,1.74,1.19,4.64,3.11,4.2,,,,,,,
September,,,,,,,2.58,4.76,2.68,2.72,2.29,1.51,3.31,0.56,1.68,3.93,3.09,1.37,3.57,1.69,1.74,1.17,5.25,3.08,,,,,,,
October,,,,,,,4.01,5.46,3.4,4.76,5.03,1.94,4.84,3.15,4.92,5.7,3.08,2.24,5,1.73,3.77,5.38,4.68,2.85,,,,,,,
November,,,,,,,3.97,2.59,4.43,2.79,3.91,2.37,3.79,1.83,1.1,3.04,1.74,0.64,3.65,3.5,5.27,3.53,1.46,2.74,,,,,,,
December,,,,,,,2.44,0.8,3.54,3.1,2.2,2.43,2.68,0.41,2.7,2.72,3.88,1.01,1.56,2.62,3.48,2.89,3.76,1.66,,,,,,,
Total,,,,,,,32.3,32.95,35.12,28.66,32.19,32.72,37.13,24.74,32.9,38.56,30.06,23.83,35.56,31.27,35.31,31.38,34.4,31.27,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
