"SUMBURGHEAD DUNROSSNESS",,,,,,,,,,,,
Grid ref,HU404094,Long,-1.280372,Lat,59.867787,,,,,,,
Station no,RR2,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.76,3.21,4.48,5.22,5.25,5.81,4.72,4.68,3.73,4.36,,
February,2.41,1.68,2.07,5.67,2.79,3.00,3.75,3.57,3.73,1.31,,
March,1.50,2.19,4.62,4.96,1.83,3.20,2.24,3.02,3.00,1.74,,
April,2.77,3.25,2.50,3.02,5.05,2.38,2.75,2.15,1.26,1.52,,
May,1.86,0.53,2.04,1.17,2.26,1.72,2.87,1.58,2.24,2.11,,
June,1.13,2.50,2.39,2.35,1.32,1.09,1.05,2.62,2.05,1.35,,
July,2.51,1.19,1.85,2.25,1.29,3.22,2.82,1.40,1.05,2.82,,
August,1.76,4.38,2.22,2.64,2.61,2.51,3.79,4.64,1.97,2.39,,
September,3.99,3.68,1.84,2.99,2.39,2.18,2.69,2.81,2.75,1.71,,
October,5.61,5.00,2.68,4.55,4.33,4.01,4.61,3.70,1.30,4.57,,
November,3.32,2.29,1.93,4.39,3.72,3.87,3.54,5.05,3.73,4.07,,
December,7.14,5.48,5.33,2.25,5.16,2.67,4.95,2.95,4.53,4.22,,
Total,39.76,35.38,33.95,41.46,38.00,35.66,39.78,38.17,31.34,32.17,,
Calc annual,39.76,35.38,33.95,41.46,38.00,35.66,39.78,38.17,31.34,32.17,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
